K_value	CV_error	dataset
10	0.23857	relaxed
11	0.24303	relaxed
12	0.24325	relaxed
13	0.25301	relaxed
14	0.25727	relaxed
15	0.25676	relaxed
3	0.26268	relaxed
4	0.26011	relaxed
5	0.25717	relaxed
6	0.22658	relaxed
7	0.22691	relaxed
8	0.2373	relaxed
9	0.24091	relaxed
10	0.21656	stringent
11	0.23223	stringent
12	0.2277	stringent
13	0.23009	stringent
14	0.23666	stringent
15	0.23648	stringent
3	0.24555	stringent
4	0.23549	stringent
5	0.21582	stringent
6	0.2179	stringent
7	0.21043	stringent
8	0.20906	stringent
9	0.22286	stringent
