Bioinformatics_ID	dataset	lat	long
CLP2570_LCA	relaxed	15.209118	-87.506361
IRL57_LCA	relaxed	14.87235	-87.90565
JA22541_Rspe_CMX	stringent	18.1597	-97.2905
JHT2264_LCA	stringent	12.998704	-85.91007
JHT2312_LCA	relaxed	13.916667	-88.283333
JHT2329_LCA	stringent	13.916667	-88.283333
JHT2349_LCA	stringent	14.947617	-88.046283
JHT2350_LCA	stringent	14.947617	-88.046283
JHT2560_LCA	stringent	14.54395	-87.55434
JHT2561_LCA	stringent	14.54395	-87.55434
JHT2562_LCA	stringent	14.54395	-87.55434
JHT2760_LCA	stringent	14.348076	-88.357153
JHT2761_LCA	relaxed	14.348076	-88.357153
JHT2812_LCA	stringent	15.08502	-88.91872
JHT2815_LCA	stringent	15.08502	-88.91872
JHT2955_LCA	stringent	14.92716	-87.041
JHT2956_LCA	stringent	14.92716	-87.041
JHT3719_LCA	relaxed	14.509341	-88.145697
JHT3762_LCA	stringent	14.509341	-88.145697
JHT3827_LCA	relaxed	14.47978	-88.305521
JHT3828_LCA	stringent	14.47978	-88.305521
JHT3829_LCA	stringent	14.47978	-88.305521
JHT3830_LCA	stringent	14.47978	-88.305521
KEN177_LCA	relaxed	13.15785	-85.87355
LK2_LCA	stringent	14.99996	-89.083348
MG66_LCA	remove	15.209118	-87.506361
MVZ143381_LCA	stringent	15.798792	-91.32012
MVZ263760_LCA	stringent	13.15735	-85.82385
MVZ263761_LCA	stringent	12.18779	-84.24668
MVZ263872_LCA	relaxed	14.50393	-89.07652
MVZ263873_LCA	stringent	14.50393	-89.07652
MVZ264276_LCA	stringent	14.99958	-89.960525
MVZ264277_LCA	relaxed	14.9842	-89.283935
MVZ264278_LCA	stringent	15.95351	-90.676453
MVZ265381_LCA	stringent	16.00745	-91.725626
MVZ265653_LCA	stringent	15.45615	-90.834737
MVZ269988_LCA	stringent	15.40716	-88.71202
MVZ3720_LCA	remove	14.509341	-88.145697
N1020_LCA	remove	13.249898	-85.664605
N918_LCA	relaxed	13.550396	-85.692188
N919_LCA	remove	13.550396	-85.692188
N997_LCA	remove	13.249898	-85.664605
Rber_T1113a_JA17105	stringent	24.996396	-98.55895
Rber_T1114_JA17105	relaxed	24.996396	-98.55895
Rneo_T480_JA17105	stringent	19.970442	-103.766837
Rneo_T527_JA17105	stringent	19.970442	-103.766837
T105_Rber_CMX	stringent	22.901655	-101.748033
T11_CMX	relaxed	20.57778	-98.61027
T1127_RTex_CMX	stringent	20.193496	-98.034982
T117_CMX	stringent	20.599762	-98.626845
T130_Rspe_CMX	remove	20.163104	-98.755562
T131_Rspe_CMX	stringent	20.163104	-98.755562
T134_Rspe_CMX	relaxed	20.163104	-98.755562
T135_Rspe_CMX	stringent	20.163104	-98.755562
T136_Rspe_CMX	stringent	20.163104	-98.755562
T137_Rspe_CMX	stringent	20.163104	-98.755562
T138_Rspe_CMX	stringent	20.163104	-98.755562
T139_Rspe_CMX	stringent	20.163104	-98.755562
T140_Rspe_CMX	stringent	20.163104	-98.755562
T141_Rspe_CMX	stringent	20.163104	-98.755562
T14178_Rber_CMX	stringent	21.844	-99.956
T14179_Rber_CMX	remove	25.73043	-100.304888
T14193_Rber_CMX	relaxed	17.804248	-96.345109
T14194_CMX	stringent	20.190511	-98.042111
T14197_Rspe_CMX	stringent	20.163104	-98.755562
T14204_PAC	stringent	16.16675	-92.100597
T14224_PAC	stringent	16.680533	-92.59599
T1952_Rspe_CMX	stringent	19.445548	-100.263328
T1987_Rspe_CMX	stringent	19.445548	-100.263328
T1989_Rspe_CMX	stringent	19.445548	-100.263328
T1991_Rspe_CMX	stringent	19.445548	-100.263328
T1995_CMX	stringent	19.696476	-101.007809
T1996_CMX	stringent	19.696476	-101.007809
