Bioinformatics_ID	no_miss_sites	percent_missing	no_sites_present	total_sites
CLP2570_LCA	677981	90.766	68970	746951
IRL57_LCA	714750	95.689	32201	746951
JA22541_Rspe_CMX	608785	81.503	138166	746951
JHT2264_LCA	544388	72.881	202563	746951
JHT2312_LCA	663484	88.826	83467	746951
JHT2329_LCA	586402	78.506	160549	746951
JHT2349_LCA	444346	59.488	302605	746951
JHT2350_LCA	490490	65.666	256461	746951
JHT2560_LCA	592810	79.364	154141	746951
JHT2561_LCA	505838	67.72	241113	746951
JHT2562_LCA	554543	74.241	192408	746951
JHT2760_LCA	643061	86.091	103890	746951
JHT2761_LCA	734689	98.358	12262	746951
JHT2812_LCA	535553	71.699	211398	746951
JHT2815_LCA	451367	60.428	295584	746951
JHT2955_LCA	387307	51.852	359644	746951
JHT2956_LCA	601665	80.549	145286	746951
JHT3719_LCA	733655	98.22	13296	746951
JHT3762_LCA	561781	75.21	185170	746951
JHT3827_LCA	736181	98.558	10770	746951
JHT3828_LCA	588130	78.737	158821	746951
JHT3829_LCA	540681	72.385	206270	746951
JHT3830_LCA	540716	72.39	206235	746951
KEN177_LCA	660836	88.471	86115	746951
LK2_LCA	621178	83.162	125773	746951
MG66_LCA	745526	99.809	1425	746951
MVZ143381_LCA	567960	76.037	178991	746951
MVZ263760_LCA	586533	78.524	160418	746951
MVZ263761_LCA	424418	56.82	322533	746951
MVZ263872_LCA	731065	97.873	15886	746951
MVZ263873_LCA	574756	76.947	172195	746951
MVZ264276_LCA	577582	77.325	169369	746951
MVZ264277_LCA	670634	89.783	76317	746951
MVZ264278_LCA	632235	84.642	114716	746951
MVZ265381_LCA	476244	63.758	270707	746951
MVZ265653_LCA	386539	51.749	360412	746951
MVZ269988_LCA	399922	53.541	347029	746951
MVZ3720_LCA	746460	99.934	491	746951
N1020_LCA	745843	99.852	1108	746951
N918_LCA	698994	93.58	47957	746951
N919_LCA	746807	99.981	144	746951
N997_LCA	746638	99.958	313	746951
Rber_T1113a_JA17105	578559	77.456	168392	746951
Rber_T1114_JA17105	691978	92.64	54973	746951
Rbla_D2864_JA17105	649635	86.972	97316	746951
Rbla_D2865_JA17105	669033	89.569	77918	746951
Rchi_T2034a_JA17105	682146	91.324	64805	746951
Rneo_T480_JA17105	599012	80.194	147939	746951
Rneo_T527_JA17105	599283	80.231	147668	746951
Rsph_T25870_JA17105	621131	83.156	125820	746951
Rsph_T26064_JA17105	617442	82.662	129509	746951
T105_Rber_CMX	548976	73.496	197975	746951
T11_CMX	677821	90.745	69130	746951
T1127_RTex_CMX	214051	28.657	532900	746951
T117_CMX	456460	61.11	290491	746951
T130_Rspe_CMX	745752	99.839	1199	746951
T131_Rspe_CMX	474314	63.5	272637	746951
T134_Rspe_CMX	650231	87.051	96720	746951
T135_Rspe_CMX	450945	60.371	296006	746951
T136_Rspe_CMX	547082	73.242	199869	746951
T137_Rspe_CMX	463752	62.086	283199	746951
T138_Rspe_CMX	366425	49.056	380526	746951
T139_Rspe_CMX	375920	50.327	371031	746951
T140_Rspe_CMX	460822	61.694	286129	746951
T141_Rspe_CMX	622949	83.399	124002	746951
T14178_Rber_CMX	460571	61.66	286380	746951
T14179_Rber_CMX	746901	99.993	50	746951
T14193_Rber_CMX	713347	95.501	33604	746951
T14194_CMX	511932	68.536	235019	746951
T14197_Rspe_CMX	597611	80.007	149340	746951
T14204_PAC	396005	53.016	350946	746951
T14224_PAC	402650	53.906	344301	746951
