Bioinformatics_ID	site_name	state
MVZ263761_LCA	ElRama	South Atlantic Autonomous Region
JHT2264_LCA	SelvaNegra	Matagalpa
MVZ263760_LCA	ElGobiado	Jinotega
KEN177_LCA	Dantanli	Jinotega
N1020_LCA	PenasBlancas	Jinotega
N997_LCA	PenasBlancas	Jinotega
N918_LCA	CerroKilambe	Jinotega
N919_LCA	CerroKilambe	Jinotega
JHT2312_LCA	CerroSPLaLoma	Intibucá
JHT2329_LCA	CerroSPLaLoma	Intibucá
JHT2760_LCA	SanMiguelitoGuancapla	Intibucá
JHT2761_LCA	SanMiguelitoGuancapla	Intibucá
JHT3827_LCA	OpalacaAguaNegra	Intibucá
JHT3828_LCA	OpalacaAguaNegra	Intibucá
JHT3829_LCA	OpalacaAguaNegra	Intibucá
JHT3830_LCA	OpalacaAguaNegra	Intibucá
MVZ263872_LCA	Fraternidad	Ocotepeque
MVZ263873_LCA	Fraternidad	Ocotepeque
JHT3719_LCA	ElRodeo	Intibucá
JHT3762_LCA	ElRodeo	Intibucá
MVZ3720_LCA	ElRodeo	Intibucá
JHT2560_LCA	MontanadeComayagua	Comayagua
JHT2561_LCA	MontanadeComayagua	Comayagua
JHT2562_LCA	MontanadeComayagua	Comayagua
IRL57_LCA	CerroAzulMeambar	Cortés
JHT2955_LCA	MontanadeYoro	Francisco Morazán 
JHT2956_LCA	MontanadeYoro	Francisco Morazán 
JHT2349_LCA	AgricolaParadise	Santa Bárbara
JHT2350_LCA	AgricolaParadise	Santa Bárbara
MVZ264277_LCA	Gualan	Zacapa
MVZ264276_LCA	SanAgustinAcasaguastlan	El Progreso
LK2_LCA	ElCedralSB	Santa Bárbara
JHT2812_LCA	CerroAzulQuebradaGrande	Copán
JHT2815_LCA	CerroAzulQuebradaGrande	Copán
MG66_LCA	Merendon	Cortés
CLP2570_LCA	Merendon	Cortés
MVZ269988_LCA	FincaFirmeza	Izabal
MVZ265653_LCA	LajChimel	El Quiche
MVZ143381_LCA	Barillas	Huehuetenango
MVZ264278_LCA	LagunaLachua	Alta Verapaz
MVZ265381_LCA	RioSancapech	Huehuetenango
T3663_PAC	Comitan	Chiapas
T3786_PAC	Comitan	Chiapas
T3809_PAC	Comitan	Chiapas
T14204_PAC	Comitan	Chiapas
TF8635_Rspe_CMX	RiolasTejas	Oaxaca
TF8636_Rspe_CMX	RiolasTejas	Oaxaca
TF8637_Rspe_CMX	RiolasTejas	Oaxaca
TF8638_Rspe_CMX	RiolasTejas	Oaxaca
TF8639_Rspe_CMX	RiolasTejas	Oaxaca
TF8640_Rspe_CMX	RiolasTejas	Oaxaca
TF8641_Rspe_CMX	RiolasTejas	Oaxaca
TF8642_Rspe_CMX	RiolasTejas	Oaxaca
TF8643_Rspe_CMX	RiolasTejas	Oaxaca
TF8644_Rspe_CMX	RiolasTejas	Oaxaca
TF8645_Rspe_CMX	RiolasTejas	Oaxaca
TF8646_Rspe_CMX	PuenteTehuantepec	Oaxaca
TF8647_Rspe_CMX	PuenteTehuantepec	Oaxaca
TF8648_Rspe_CMX	PuenteTehuantepec	Oaxaca
TF8649_Rspe_CMX	PuenteTehuantepec	Oaxaca
TF8650_Rspe_CMX	PuenteTehuantepec	Oaxaca
TF8651_Rspe_CMX	PuenteTehuantepec	Oaxaca
TF8652_Rspe_CMX	PuenteTehuantepec	Oaxaca
TF8653_Rspe_CMX	PuenteTehuantepec	Oaxaca
T3791_CMX	Teopisca	Chiapas
T3800_CMX	Teopisca	Chiapas
T3805_CMX	Teopisca	Chiapas
T3807_CMX	Teopisca	Chiapas
TF7101_Rspe_CMX	SoladeVega	Oaxaca
TF7102_Rspe_CMX	SoladeVega	Oaxaca
TF7103_Rspe_CMX	SoladeVega	Oaxaca
TF8695_Rspe_CMX	SoladeVega	Oaxaca
TF8696_Rspe_CMX	SoladeVega	Oaxaca
TF8697_Rspe_CMX	SoladeVega	Oaxaca
TF8698_Rspe_CMX	SoladeVega	Oaxaca
TF8699_Rspe_CMX	SoladeVega	Oaxaca
T3683_PAC	SanCristobaldelasCasas	Chiapas
T3686_PAC	SanCristobaldelasCasas	Chiapas
T3688_PAC	SanCristobaldelasCasas	Chiapas
T3689_PAC	SanCristobaldelasCasas	Chiapas
T3691_PAC	SanCristobaldelasCasas	Chiapas
T3693_PAC	SanCristobaldelasCasas	Chiapas
T3695_PAC	SanCristobaldelasCasas	Chiapas
T3698_PAC	SanCristobaldelasCasas	Chiapas
T14224_PAC	SanCristobaldelasCasas	Chiapas
TF8694_Rspe_CMX	MotellosSauces	Oaxaca
TF8684_Rspe_CMX	PuenteDonPedrito	Oaxaca
TF8685_Rspe_CMX	PuenteDonPedrito	Oaxaca
TF8686_Rspe_CMX	PuenteDonPedrito	Oaxaca
TF8687_Rspe_CMX	PuenteDonPedrito	Oaxaca
TF8688_Rspe_CMX	PuenteDonPedrito	Oaxaca
TF8689_Rspe_CMX	PuenteDonPedrito	Oaxaca
TF8690_Rspe_CMX	PuenteDonPedrito	Oaxaca
TF8691_Rspe_CMX	PuenteDonPedrito	Oaxaca
TF8692_Rspe_CMX	PuenteDonPedrito	Oaxaca
TF7133_Rspe_CMX	Zaachila	Oaxaca
TF7134_Rspe_CMX	Zaachila	Oaxaca
TF7135_Rspe_CMX	Zaachila	Oaxaca
TF7136_Rspe_CMX	Zaachila	Oaxaca
TF7137_Rspe_CMX	Zaachila	Oaxaca
TF7138_Rspe_CMX	Zaachila	Oaxaca
TF7139_Rspe_CMX	Zaachila	Oaxaca
TF7140_Rspe_CMX	Zaachila	Oaxaca
TF7141_Rspe_CMX	Zaachila	Oaxaca
TF7142_Rspe_CMX	Zaachila	Oaxaca
T351_Rspe_CMX	Mitla	Oaxaca
T467_Rspe_CMX	Mitla	Oaxaca
T486_Rspe_CMX	Mitla	Oaxaca
T528_Rspe_CMX	Mitla	Oaxaca
T537_Rspe_CMX	Mitla	Oaxaca
TF8674_Rspe_CMX	SantaMariaAlbarradas	Oaxaca
TF8675_Rspe_CMX	SantaMariaAlbarradas	Oaxaca
TF8676_Rspe_CMX	SantaMariaAlbarradas	Oaxaca
TF8677_Rspe_CMX	SantaMariaAlbarradas	Oaxaca
TF8678_Rspe_CMX	SantaMariaAlbarradas	Oaxaca
TF8679_Rspe_CMX	SantaMariaAlbarradas	Oaxaca
