Bioinformatics_ID	baseA	baseC	baseG	baseT	no_sites
CLP2570_LCA	0.18332	0.31764	0.31986	0.17917	68970
IRL57_LCA	0.19541	0.30953	0.30219	0.19288	32201
JA22541_Rspe_CMX	0.18147	0.32302	0.32252	0.17299	138166
JHT2264_LCA	0.1799	0.32232	0.32474	0.17304	202563
JHT2312_LCA	0.17697	0.32429	0.32702	0.17173	83467
JHT2329_LCA	0.17408	0.32867	0.32897	0.16828	160549
JHT2349_LCA	0.17511	0.32707	0.32911	0.16871	302605
JHT2350_LCA	0.17612	0.32639	0.32801	0.16948	256461
JHT2560_LCA	0.17668	0.32555	0.32793	0.16984	154141
JHT2561_LCA	0.17462	0.32684	0.32953	0.169	241113
JHT2562_LCA	0.17722	0.32378	0.329	0.17	192408
JHT2760_LCA	0.16632	0.3355	0.33846	0.15972	103890
JHT2761_LCA	0.17023	0.33784	0.33548	0.15646	12262
JHT2812_LCA	0.17664	0.32522	0.32666	0.17149	211398
JHT2815_LCA	0.17669	0.32478	0.3288	0.16974	295584
JHT2955_LCA	0.17614	0.32621	0.32906	0.16859	359644
JHT2956_LCA	0.17195	0.32952	0.33389	0.16464	145286
JHT3719_LCA	0.1711	0.33293	0.3354	0.16056	13296
JHT3762_LCA	0.17141	0.33113	0.33467	0.16279	185170
JHT3827_LCA	0.16698	0.33537	0.33043	0.16723	10770
JHT3828_LCA	0.17086	0.33193	0.33573	0.16148	158821
JHT3829_LCA	0.17209	0.3306	0.33429	0.16302	206270
JHT3830_LCA	0.1697	0.3331	0.33642	0.16079	206235
KEN177_LCA	0.17183	0.33052	0.33324	0.16441	86115
LK2_LCA	0.1714	0.33052	0.33419	0.16389	125773
MG66_LCA	0.18677	0.31475	0.32211	0.17637	1425
MVZ143381_LCA	0.16879	0.33212	0.33723	0.16187	178991
MVZ263760_LCA	0.17189	0.32894	0.33521	0.16396	160418
MVZ263761_LCA	0.17263	0.32996	0.33323	0.16419	322533
MVZ263872_LCA	0.17494	0.3203	0.33298	0.17178	15886
MVZ263873_LCA	0.17188	0.32833	0.33301	0.16677	172195
MVZ264276_LCA	0.17512	0.32688	0.33003	0.16797	169369
MVZ264277_LCA	0.1693	0.33057	0.34022	0.15991	76317
MVZ264278_LCA	0.17171	0.32959	0.33316	0.16554	114716
MVZ265381_LCA	0.17258	0.32865	0.33261	0.16616	270707
MVZ265653_LCA	0.16979	0.33309	0.33621	0.16091	360412
MVZ269988_LCA	0.16976	0.33219	0.33662	0.16144	347029
MVZ3720_LCA	0.1814	0.33131	0.32776	0.15952	491
N1020_LCA	0.17543	0.31375	0.33296	0.17785	1108
N918_LCA	0.17788	0.32453	0.32727	0.17032	47957
N919_LCA	0.15972	0.29167	0.3125	0.23611	144
N997_LCA	0.17358	0.35038	0.32268	0.15335	313
Rber_T1113a_JA17105	0.18124	0.32387	0.32029	0.17461	168392
Rber_T1114_JA17105	0.1846	0.31921	0.31761	0.17857	54973
Rbla_D2864_JA17105	0.18514	0.31764	0.31653	0.18069	97316
Rbla_D2865_JA17105	0.18461	0.31726	0.31844	0.17969	77918
Rchi_T2034a_JA17105	0.1903	0.30739	0.31912	0.18319	64805
Rneo_T480_JA17105	0.1834	0.32169	0.31834	0.17657	147939
Rneo_T527_JA17105	0.18242	0.32127	0.31815	0.17817	147668
Rsph_T25870_JA17105	0.18669	0.31616	0.31853	0.17862	125820
Rsph_T26064_JA17105	0.18682	0.31662	0.31731	0.17925	129509
T105_Rber_CMX	0.17819	0.32283	0.3251	0.17388	197975
T11_CMX	0.1739	0.32631	0.32919	0.1706	69130
T1127_RTex_CMX	0.17899	0.32439	0.32528	0.17134	532900
T117_CMX	0.17497	0.32761	0.3296	0.16782	290491
T130_Rspe_CMX	0.19949	0.31594	0.31462	0.16995	1199
T131_Rspe_CMX	0.17683	0.32621	0.32793	0.16903	272637
T134_Rspe_CMX	0.17434	0.32706	0.32822	0.17038	96720
T135_Rspe_CMX	0.17623	0.32698	0.32884	0.16795	296006
T136_Rspe_CMX	0.1776	0.32591	0.32753	0.16896	199869
T137_Rspe_CMX	0.17604	0.32715	0.32916	0.16765	283199
T138_Rspe_CMX	0.17556	0.32737	0.33006	0.167	380526
T139_Rspe_CMX	0.17493	0.32808	0.3306	0.16639	371031
T140_Rspe_CMX	0.17391	0.32801	0.33178	0.1663	286129
T141_Rspe_CMX	0.17291	0.32783	0.33239	0.16687	124002
T14178_Rber_CMX	0.17922	0.32491	0.32465	0.17121	286380
T14179_Rber_CMX	0.22	0.31304	0.3	0.16696	50
T14193_Rber_CMX	0.17145	0.33287	0.33745	0.15822	33604
T14194_CMX	0.16619	0.33636	0.34112	0.15633	235019
T14197_Rspe_CMX	0.17022	0.33305	0.33727	0.15946	149340
T14204_PAC	0.17849	0.32416	0.32686	0.17048	350946
T14224_PAC	0.17814	0.32406	0.32657	0.17123	344301
T14316_Rpip_OUT	0.18512	0.31665	0.31815	0.18009	81464
T14318_Rare_OUT	0.18469	0.31703	0.31644	0.18183	118369
T1952_Rspe_CMX	0.18008	0.32365	0.32389	0.17238	367561
T1987_Rspe_CMX	0.17731	0.32622	0.32685	0.16961	383443
T1989_Rspe_CMX	0.18019	0.32156	0.32447	0.17378	329368
T1991_Rspe_CMX	0.17974	0.32319	0.32395	0.17312	346922
T1995_CMX	0.18035	0.32172	0.32324	0.17469	415846
T1996_CMX	0.1801	0.32306	0.32363	0.1732	343678
