Bioinformatics_ID	lat	long	dataset
AH197_LCA	8.48553	-81.72849	relaxed
AH198_LCA	8.48553	-81.72849	stringent
AH199_LCA	8.48553	-81.72849	stringent
CLP2570_LCA	15.209118	-87.506361	relaxed
IRL57_LCA	14.87235	-87.90565	relaxed
JHT2138_LCA	14.034904	-87.076059	stringent
JHT2139_LCA	14.034904	-87.076059	remove
JHT2140_LCA	14.034904	-87.076059	stringent
JHT2141_LCA	14.034904	-87.076059	stringent
JHT2142_LCA	14.034904	-87.076059	stringent
JHT2143_LCA	14.034904	-87.076059	stringent
JHT2144_LCA	14.034904	-87.076059	stringent
JHT2145_LCA	14.034904	-87.076059	stringent
JHT2153_LCA	14.034904	-87.076059	stringent
JHT2261_LCA	14.034904	-87.076059	stringent
JHT2264_LCA	12.998704	-85.91007	stringent
JHT2308_LCA	13.916667	-88.283333	stringent
JHT2309_LCA	13.916667	-88.283333	relaxed
JHT2310_LCA	13.916667	-88.283333	stringent
JHT2312_LCA	13.916667	-88.283333	relaxed
JHT2314_LCA	13.916667	-88.283333	stringent
JHT2327_LCA	13.916667	-88.283333	stringent
JHT2328_LCA	13.916667	-88.283333	stringent
JHT2329_LCA	13.916667	-88.283333	stringent
JHT2349_LCA	14.947617	-88.046283	stringent
JHT2350_LCA	14.947617	-88.046283	stringent
JHT2560_LCA	14.54395	-87.55434	stringent
JHT2561_LCA	14.54395	-87.55434	stringent
JHT2562_LCA	14.54395	-87.55434	stringent
JHT2760_LCA	14.348076	-88.357153	stringent
JHT2761_LCA	14.348076	-88.357153	relaxed
JHT2772_LCA	14.33766	-88.248911	stringent
JHT2812_LCA	15.08502	-88.91872	stringent
JHT2815_LCA	15.08502	-88.91872	stringent
JHT2883_LCA	13.916667	-88.283333	stringent
JHT2955_LCA	14.92716	-87.041	stringent
JHT2956_LCA	14.92716	-87.041	stringent
JHT3719_LCA	14.509341	-88.145697	relaxed
JHT3762_LCA	14.509341	-88.145697	stringent
JHT3827_LCA	14.47978	-88.305521	relaxed
JHT3828_LCA	14.47978	-88.305521	stringent
JHT3829_LCA	14.47978	-88.305521	stringent
JHT3830_LCA	14.47978	-88.305521	stringent
JHT4090_LCA	13.935591	-86.871249	stringent
JHT4091_LCA	13.935591	-86.871249	stringent
JHT4092_LCA	13.935591	-86.871249	stringent
JHT4093_LCA	13.935591	-86.871249	stringent
JHT4094_LCA	13.935591	-86.871249	stringent
JHT4095_LCA	13.935591	-86.871249	relaxed
JHT4096_LCA	13.935591	-86.871249	relaxed
JHT4097_LCA	13.935591	-86.871249	stringent
JHT4098_LCA	13.935591	-86.871249	stringent
JHT4099_LCA	13.935591	-86.871249	stringent
JHT4100_LCA	13.935591	-86.871249	stringent
JHT4102_LCA	13.935591	-86.871249	stringent
JHT4103_LCA	13.935591	-86.871249	relaxed
JHT4104_LCA	13.935591	-86.871249	remove
JHT4105_LCA	13.935591	-86.871249	relaxed
JHT4106_LCA	13.935591	-86.871249	relaxed
JHT4107_LCA	13.935591	-86.871249	stringent
