BioinformaticsID	original_order	order_custom
JHT2138_LCA	6	1
JHT2141_LCA	8	2
JHT2142_LCA	9	3
JHT2143_LCA	10	4
JHT2144_LCA	11	5
JHT2145_LCA	12	6
JHT2261_LCA	14	7
JHT2153_LCA	13	8
JHT2140_LCA	7	9
JHT4091_LCA	44	10
JHT4092_LCA	45	11
JHT4093_LCA	46	12
JHT4095_LCA	48	13
JHT4096_LCA	49	14
JHT4097_LCA	50	15
JHT4098_LCA	51	16
JHT4099_LCA	52	17
JHT4100_LCA	53	18
JHT4102_LCA	54	19
JHT4106_LCA	57	20
JHT4107_LCA	58	21
JHT4110_LCA	59	22
JHT4111_LCA	60	23
JHT4114_LCA	62	24
JHT4115_LCA	63	25
JHT4118_LCA	64	26
JHT4120_LCA	66	27
JHT4122_LCA	67	28
JHT4124_LCA	68	29
JHT4113_LCA	61	30
JHT4119_LCA	65	31
JHT4105_LCA	56	32
JHT4094_LCA	47	33
JHT4090_LCA	43	34
JHT4103_LCA	55	35
JHT2328_LCA	22	36
JHT2312_LCA	19	37
JHT2309_LCA	17	38
JHT2314_LCA	20	39
JHT2308_LCA	16	40
JHT2310_LCA	18	41
JHT2883_LCA	34	42
JHT2327_LCA	21	43
JHT2772_LCA	31	44
MVZ269989_LCA	92	45
MVZ269990_LCA	93	46
MVZ269991_LCA	94	47
N918_LCA	95	48
KEN590_LCA	70	49
KEN591_LCA	71	50
KEN592_LCA	72	51
MVZ149013_LCA	77	52
MVZ175967_LCA	79	53
MVZ207327_LCA	81	54
T3042_LCA	105	55
T3043_LCA	106	56
T3544_LCA	107	57
T3545_LCA	108	58
T3576_LCA	120	59
T3577_LCA	121	60
T3588_LCA	123	61
T3743_LCA	139	62
T3762_LCA	140	63
T3557_LCA	113	64
T3703_LCA	137	65
T3715_LCA	138	66
JHT2329_LCA	23	67
JHT3762_LCA	38	68
CLP2570_LCA	4	69
JHT2350_LCA	25	70
JHT2560_LCA	26	71
JHT2561_LCA	27	72
JHT2562_LCA	28	73
JHT2761_LCA	30	74
JHT2812_LCA	32	75
JHT2815_LCA	33	76
JHT2955_LCA	35	77
JHT2956_LCA	36	78
JHT3827_LCA	39	79
JHT3828_LCA	40	80
JHT3829_LCA	41	81
JHT3830_LCA	42	82
LK2_LCA	73	83
MVZ263872_LCA	84	84
MVZ263873_LCA	85	85
JHT2349_LCA	24	86
JHT2760_LCA	29	87
JHT3719_LCA	37	88
MVZ143381_LCA	74	89
MVZ264277_LCA	87	90
MVZ269988_LCA	91	91
T24735_LCA	96	92
T24737_LCA	97	93
T24740_LCA	98	94
T24741_LCA	99	95
T24745_LCA	100	96
T24746_LCA	101	97
T3651_LCA	129	98
T3652_LCA	130	99
T3654_LCA	132	100
T3655_LCA	133	101
T3656_LCA	134	102
T3658_LCA	136	103
MVZ265653_LCA	90	104
T3653_LCA	131	105
T3657_LCA	135	106
MVZ264276_LCA	86	107
MVZ265381_LCA	89	108
MVZ264278_LCA	88	109
KEN177_LCA	69	110
MVZ263760_LCA	82	111
JHT2264_LCA	15	112
MVZ263761_LCA	83	113
IRL57_LCA	5	114
T3649_LCA	128	115
AH198_LCA	2	116
AH199_LCA	3	117
MVZ145484_LCA	76	118
T3040_LCA	103	119
T3041_LCA	104	120
T3549_LCA	109	121
T3554_LCA	111	122
T3555_LCA	112	123
T3562_LCA	115	124
T3565_LCA	116	125
T3568_LCA	117	126
T3571_LCA	118	127
T3591_LCA	124	128
T3593_LCA	125	129
T3600_LCA	126	130
T3601_LCA	127	131
AH197_LCA	1	132
T3039_LCA	102	133
T3561_LCA	114	134
T3586_LCA	122	135
MVZ203928_LCA	80	136
MVZ145471_LCA	75	137
T3552_LCA	110	138
MVZ150254_LCA	78	139
T3572_LCA	119	140
