Bioinformatics_ID	site_name	state
MVZ269989_LCA	LaPiedrona	Jutiapa
MVZ269990_LCA	LaPiedrona	Jutiapa
MVZ269991_LCA	LaPiedrona	Jutiapa
MVZ145484_LCA	ElEmpalme16	San Jose
MVZ145471_LCA	ElEmpalme16	San Jose
MVZ264277_LCA	Gualan	Zacapa
MVZ263761_LCA	ElRama	South Atlantic Autonomous Region
T3043_LCA	Hwy21Hwy151	Guanacaste
MVZ263872_LCA	Fraternidad	Ocotepeque
MVZ263873_LCA	Fraternidad	Ocotepeque
T24735_LCA	ElRemate	Peten
T24740_LCA	ElRemate	Peten
T24746_LCA	ElRemate	Peten
MVZ264276_LCA	SanAgustinAcasaguastlan	El Progreso
T3649_LCA	ElVolcan	
MVZ203928_LCA	ArbolesCaidos	Cartago
T3544_LCA	BocaBarranca	Puntarenas
T3545_LCA	BocaBarranca	Puntarenas
T3548_LCA	BocaBarranca	Puntarenas
T3557_LCA	BocaBarranca	Puntarenas
T3576_LCA	BocaBarranca	Puntarenas
T3577_LCA	BocaBarranca	Puntarenas
T3588_LCA	BocaBarranca	Puntarenas
T3703_LCA	BocaBarranca	Puntarenas
T3715_LCA	BocaBarranca	Puntarenas
T3743_LCA	BocaBarranca	Puntarenas
T3762_LCA	BocaBarranca	Puntarenas
MVZ149013_LCA	EstExpt	Guanacaste
MVZ175967_LCA	EstExpt	Guanacaste
JHT2308_LCA	CerroSPLaLoma	Intibucá
JHT2309_LCA	CerroSPLaLoma	Intibucá
JHT2310_LCA	CerroSPLaLoma	Intibucá
JHT2314_LCA	CerroSPLaLoma	Intibucá
JHT2327_LCA	CerroSPLaLoma	Intibucá
JHT2328_LCA	CerroSPLaLoma	Intibucá
JHT2312_LCA	CerroSPLaLoma	Intibucá
JHT2329_LCA	CerroSPLaLoma	Intibucá
JHT2349_LCA	AgricolaParadise	Santa Bárbara
JHT2350_LCA	AgricolaParadise	Santa Bárbara
KEN177_LCA	Dantanli	Jinotega
LK2_LCA	ElCedralSB	Santa Bárbara
MVZ150254_LCA	ElEmpalme	San Jose
T3553_LCA	ElEmpalmeOjodeAgua	Cartago
T3585_LCA	ElEmpalmeOjodeAgua	Cartago
T3592_LCA	ElEmpalmeOjodeAgua	Cartago
T3594_LCA	ElEmpalmeOjodeAgua	Cartago
T3595_LCA	ElEmpalmeOjodeAgua	Cartago
T3549_LCA	ElEmpalmeOjodeAgua	Cartago
T3552_LCA	ElEmpalmeOjodeAgua	Cartago
T3554_LCA	ElEmpalmeOjodeAgua	Cartago
T3561_LCA	ElEmpalmeOjodeAgua	Cartago
T3562_LCA	ElEmpalmeOjodeAgua	Cartago
T3568_LCA	ElEmpalmeOjodeAgua	Cartago
T3572_LCA	ElEmpalmeOjodeAgua	Cartago
T3586_LCA	ElEmpalmeOjodeAgua	Cartago
T3591_LCA	ElEmpalmeOjodeAgua	Cartago
T3601_LCA	ElEmpalmeOjodeAgua	Cartago
MVZ263760_LCA	ElGobiado	Jinotega
MVZ269988_LCA	FincaFirmeza	Izabal
T24741_LCA	GringoPerdido	Peten
T24737_LCA	BiotopoCerroCahui	Peten
T24745_LCA	BiotopoCerroCahui	Peten
T3042_LCA	22Hwy21Hwy151	Guanacaste
MVZ265653_LCA	LajChimel	El Quiche
KEN589_LCA	LittleCornIsland	Región Autónoma del Atlántico Sur
KEN590_LCA	LittleCornIsland	Región Autónoma del Atlántico Sur
KEN591_LCA	LittleCornIsland	Región Autónoma del Atlántico Sur
KEN592_LCA	LittleCornIsland	Región Autónoma del Atlántico Sur
AH197_LCA	LlanoTugri	Ngäbe-Buglé
AH198_LCA	LlanoTugri	Ngäbe-Buglé
AH199_LCA	LlanoTugri	Ngäbe-Buglé
MG66_LCA	Manchaguala	Cortés
CLP2570_LCA	Manchaguala	Cortés
T3555_LCA	MontedelaCruz	Heredia
T3565_LCA	MontedelaCruz	Heredia
T3571_LCA	MontedelaCruz	Heredia
T3593_LCA	MontedelaCruz	Heredia
T3600_LCA	MontedelaCruz	Heredia
T3651_LCA	Panahachel	Solola
T3652_LCA	Panahachel	Solola
