K_value	CV_error	dataset	params
1	0.35357	PACMX	PACMX_relaxed_0.25missldp
2	0.27832	PACMX	PACMX_relaxed_0.25missldp
3	0.22069	PACMX	PACMX_relaxed_0.25missldp
4	0.18334	PACMX	PACMX_relaxed_0.25missldp
5	0.16894	PACMX	PACMX_relaxed_0.25missldp
6	0.15011	PACMX	PACMX_relaxed_0.25missldp
7	0.13641	PACMX	PACMX_relaxed_0.25missldp
8	0.13693	PACMX	PACMX_relaxed_0.25missldp
9	0.11961	PACMX	PACMX_relaxed_0.25missldp
10	0.12075	PACMX	PACMX_relaxed_0.25missldp
11	0.12378	PACMX	PACMX_relaxed_0.25missldp
12	0.12391	PACMX	PACMX_relaxed_0.25missldp
13	0.11869	PACMX	PACMX_relaxed_0.25missldp
14	0.12559	PACMX	PACMX_relaxed_0.25missldp
15	0.10799	PACMX	PACMX_relaxed_0.25missldp
3	0.22962	ATL_MXPL	ATL_MXPL_relaxed_0.25missldp
4	0.20892	ATL_MXPL	ATL_MXPL_relaxed_0.25missldp
5	0.18955	ATL_MXPL	ATL_MXPL_relaxed_0.25missldp
6	0.18476	ATL_MXPL	ATL_MXPL_relaxed_0.25missldp
7	0.18644	ATL_MXPL	ATL_MXPL_relaxed_0.25missldp
8	0.19292	ATL_MXPL	ATL_MXPL_relaxed_0.25missldp
9	0.19726	ATL_MXPL	ATL_MXPL_relaxed_0.25missldp
10	0.20054	ATL_MXPL	ATL_MXPL_relaxed_0.25missldp
11	0.19656	ATL_MXPL	ATL_MXPL_relaxed_0.25missldp
12	0.20385	ATL_MXPL	ATL_MXPL_relaxed_0.25missldp
13	0.20353	ATL_MXPL	ATL_MXPL_relaxed_0.25missldp
14	0.20816	ATL_MXPL	ATL_MXPL_relaxed_0.25missldp
15	0.2201	ATL_MXPL	ATL_MXPL_relaxed_0.25missldp
3	0.34056	CENTAM	CENTAM_relaxed_0.25missldp
4	0.315	CENTAM	CENTAM_relaxed_0.25missldp
5	0.35716	CENTAM	CENTAM_relaxed_0.25missldp
6	0.3312	CENTAM	CENTAM_relaxed_0.25missldp
7	0.33927	CENTAM	CENTAM_relaxed_0.25missldp
8	0.3372	CENTAM	CENTAM_relaxed_0.25missldp
9	0.34476	CENTAM	CENTAM_relaxed_0.25missldp
10	0.34741	CENTAM	CENTAM_relaxed_0.25missldp
11	0.38756	CENTAM	CENTAM_relaxed_0.25missldp
12	0.38266	CENTAM	CENTAM_relaxed_0.25missldp
13	0.38987	CENTAM	CENTAM_relaxed_0.25missldp
14	0.40266	CENTAM	CENTAM_relaxed_0.25missldp
15	0.42442	CENTAM	CENTAM_relaxed_0.25missldp
1	0.52118	forreri	forreri_0.25miss_ldp
2	0.40675	forreri	forreri_0.25miss_ldp
3	0.34718	forreri	forreri_0.25miss_ldp
4	0.30782	forreri	forreri_0.25miss_ldp
5	0.33907	forreri	forreri_0.25miss_ldp
6	0.29556	forreri	forreri_0.25miss_ldp
7	0.29811	forreri	forreri_0.25miss_ldp
8	0.30786	forreri	forreri_0.25miss_ldp
9	0.30538	forreri	forreri_0.25miss_ldp
10	0.3272	forreri	forreri_0.25miss_ldp
