Bioinformatics_ID	lat	long	dataset
T14429_Aten_PAC	19.527987	-103.44055	remove
T14440_Rmag_CMX	23.462458	-105.830558	remove
T15_PAC	17.297674	-100.283208	remove
T1962_PAC	18.315918	-100.298865	remove
T24978_PAC	16.374811	-94.206688	remove
T3605_Llano_PAC	NA	NA	remove
T3624_PAC	15.913195	-95.803754	remove
T3662_PAC	16.607234	-94.197402	remove
T3676_PAC	16.16675	-92.100597	remove
T3691_PAC	16.680533	-92.59599	remove
T416_RTex_CMX	20.193496	-98.034982	remove
TF8677_Rspe_CMX	16.97001	-96.1762	remove
TF8679_Rspe_CMX	16.97001	-96.1762	remove
V10_PAC	22.388427	-105.452203	remove
V2611_pap_PAC	17.01886111	-99.79055556	remove
V2612_pap_PAC	17.01886111	-99.79055556	remove
V2613_pap_PAC	17.01886111	-99.79055556	remove
V2617_pap_PAC	17.01886111	-99.79055556	remove
V2618_pap_PAC	17.01886111	-99.79055556	remove
V2620_pap_PAC	17.01886111	-99.79055556	remove
V2621_pap_PAC	17.01886111	-99.79055556	remove
V2644_pap_PAC	16.881965	-99.81864	remove
V2656_pap_PAC	17.08436111	-99.73	remove
V2709_Rfor_PAC	15.37591667	-92.75972222	remove
V2751_PAC	19.19641667	-101.45	remove
V2762_PAC	21.62091667	-104.8166667	remove
V2782_PAC	21.36061111	-104.5486111	remove
V2830_PAC	20.76705556	-104.9238889	remove
V9_PAC	22.388427	-105.452203	remove
T14192_papa_PAC	17.158608	-99.590452	relaxed
T2022_Aten_PAC	19.527987	-103.44055	relaxed
T2025_PAC	19.74643	-103.182942	relaxed
T3616_PAC	15.913195	-95.803754	relaxed
T3678_CMX	16.76025	-92.943501	relaxed
T3681_CMX	16.76025	-92.943501	relaxed
T3688_PAC	16.680533	-92.59599	relaxed
T3695_PAC	16.680533	-92.59599	relaxed
T3698_PAC	16.680533	-92.59599	relaxed
T3782_PAC	15.913195	-95.803754	relaxed
T3791_CMX	16.509459	-92.366439	relaxed
T3807_CMX	16.509459	-92.366439	relaxed
T3809_PAC	16.16675	-92.100597	relaxed
TF7140_Rspe_CMX	16.94697	-96.8151	relaxed
V1_PAC	22.128562	-105.204077	relaxed
V2727_PAC	19.18308333	-103.6269444	relaxed
V2761_PAC	21.62091667	-104.8166667	relaxed
V2786_PAC	21.36061111	-104.5486111	relaxed
V2832_PAC	20.83644444	-105.1252778	relaxed
V3076_PAC	16.60297222	-96.16	relaxed
V3082_PAC	16.60297222	-96.16	relaxed
V5_PAC	22.128562	-105.204077	relaxed
JA22541_Rspe_CMX	18.1597	-97.2905	stringent
JA24801_PAC	18.01312	-102.08812	stringent
T14182_PAC	16.607234	-94.197402	stringent
T14198_PAC	17.297674	-100.283208	stringent
T14199_PAC	16.374811	-94.206688	stringent
T14203_Romi_CMX	17.330737	-99.470147	stringent
T14204_PAC	16.16675	-92.100597	stringent
T14224_PAC	16.680533	-92.59599	stringent
T14236_Romi_CMX	17.33074	-99.47015	stringent
T14298_Ryav_OUT	33.283994	-109.267429	stringent
T14438_OUT	32.3449	-110.54034	stringent
T1957_papa_PAC	17.158608	-99.590452	stringent
T1958_papa_PAC	17.158608	-99.590452	stringent
T1959_papa_PAC	17.158608	-99.590452	stringent
T1960_papa_PAC	17.158608	-99.590452	stringent
T1961_papa_PAC	17.158608	-99.590452	stringent
T1963_arcelia_PAC	18.315918	-100.298865	stringent
