Bioinformatics_ID	order_maxK	original_order	custom_order
T14199_PAC	1	6	1
TF8637_Rspe_CMX	2	92	2
TF8644_Rspe_CMX	3	99	3
TF8647_Rspe_CMX	4	102	4
TF8648_Rspe_CMX	5	103	5
TF8649_Rspe_CMX	6	104	6
TF8650_Rspe_CMX	7	105	7
TF8651_Rspe_CMX	8	106	8
TF8652_Rspe_CMX	9	107	9
TF8653_Rspe_CMX	10	108	10
V2685_Rfor_PAC	11	173	11
V2687_Rfor_PAC	12	175	12
V2688_Rfor_PAC	13	176	13
V2689_Rfor_PAC	14	177	14
V2691_Rfor_PAC	15	178	15
V2695_Rfor_PAC	18	181	16
V2699_Rfor_PAC	21	184	17
V2700_Rfor_PAC	22	185	18
V2686_Rfor_PAC	27	174	19
V2692_Rfor_PAC	16	179	20
V2693_Rfor_PAC	17	180	21
V2696_Rfor_PAC	19	182	22
V2697_Rfor_PAC	20	183	23
V2701_Rfor_PAC	23	186	24
V2702_Rfor_PAC	24	187	25
V2706_Rfor_PAC	25	188	26
V2708_Rfor_PAC	26	190	27
V2707_Rfor_PAC	28	189	28
T1963_arcelia_PAC	115	18	29
T1964_arcelia_PAC	117	19	30
V2602_pap_PAC	29	149	31
V2598_pap_PAC	30	146	32
V2599_pap_PAC	31	147	33
V2600_pap_PAC	32	148	34
V2595_Rfor_PAC	33	144	35
V2594_Rfor_PAC	34	143	36
T14192_papa_PAC	35	4	37
UTA60803_Rfor_PAC	36	132	38
JA24801_PAC	118	2	39
T3430_PAC	73	30	40
T4029_bals_PAC	75	60	41
V1311_PAC	78	135	42
V1312_PAC	79	136	43
V2717_PAC	85	191	44
V2718_PAC	86	192	45
V2719_PAC	87	193	46
V2720_PAC	88	194	47
V2721_PAC	89	195	48
V2722_PAC	90	196	49
V2723_PAC	91	197	50
V2725_PAC	92	199	51
V2726_PAC	93	200	52
V2727_PAC	94	201	53
V2728_PAC	95	202	54
V2729_PAC	96	203	55
V2730_PAC	97	204	56
V2724_PAC	112	198	57
T3437_PAC	74	31	58
V2833_PAC	103	227	59
V2906_PAC	104	228	60
V11_PAC	76	133	61
V12_PAC	77	134	62
V13_PAC	80	137	63
V14_PAC	81	138	64
V15_PAC	82	139	65
V16_PAC	83	140	66
V1_PAC	84	141	67
V2794_PAC	98	218	68
V2798_PAC	99	222	69
V2800_PAC	100	224	70
V2_PAC	105	230	71
V3_PAC	106	240	72
V4_PAC	107	241	73
V5_PAC	108	242	74
V6_PAC	109	243	75
V8_PAC	110	245	76
V7_PAC	111	244	77
V2799_PAC	113	223	78
V2831_PAC	101	225	79
V2832_PAC	102	226	80
V2797_PAC	114	221	81
T2059_Rfor_PAC	72	25	82
T14198_PAC	37	5	83
T14236_Romi_CMX	38	10	84
T1957_papa_PAC	39	13	85
T1958_papa_PAC	40	14	86
T1959_papa_PAC	41	15	87
T1960_papa_PAC	42	16	88
T1965_papa_PAC	43	20	89
T513_Romi_CMX	44	64	90
V2593_pap_PAC	45	142	91
V2603_pap_PAC	46	150	92
V2605_pap_PAC	47	151	93
V2606_pap_PAC	48	152	94
V2645_pap_PAC	49	153	95
V2646_pap_PAC	50	154	96
V2648_pap_PAC	51	155	97
V2649_pap_PAC	52	156	98
V2650_pap_PAC	53	157	99
V2651_pap_PAC	54	158	100
V2654_pap_PAC	55	159	101
V2657_pap_PAC	56	161	102
