order	max_K_val	max_K	K_val	Bioinformatics_ID	lat	long	X1	X2	X3	X4	X5
103	0.999953	X1	5	V7_PAC	22.388427	-105.452203	0.999953	1e-5	1.7e-5	1e-5	1e-5
104	0.99996	X1	5	V8_PAC	22.388427	-105.452203	0.99996	1e-5	1e-5	1e-5	1e-5
99	0.99996	X1	5	V3_PAC	22.128562	-105.204077	0.99996	1e-5	1e-5	1e-5	1e-5
100	0.999952	X1	5	V4_PAC	22.128562	-105.204077	0.999952	1e-5	1.3e-5	1.5e-5	1e-5
101	0.99996	X1	5	V5_PAC	22.128562	-105.204077	0.99996	1e-5	1e-5	1e-5	1e-5
102	0.99996	X1	5	V6_PAC	22.128562	-105.204077	0.99996	1e-5	1e-5	1e-5	1e-5
98	0.999959	X1	5	V2_PAC	22.128562	-105.204077	0.999959	1e-5	1.1e-5	1e-5	1e-5
43	0.99996	X1	5	V12_PAC	21.80689	-105.204299	0.99996	1e-5	1e-5	1e-5	1e-5
46	0.999951	X1	5	V13_PAC	21.80689	-105.204299	0.999951	1e-5	1.9e-5	1e-5	1e-5
47	0.99996	X1	5	V14_PAC	21.80689	-105.204299	0.99996	1e-5	1e-5	1e-5	1e-5
49	0.999959	X1	5	V16_PAC	21.80689	-105.204299	0.999959	1.1e-5	1e-5	1e-5	1e-5
42	0.99996	X1	5	V11_PAC	21.80689	-105.204299	0.99996	1e-5	1e-5	1e-5	1e-5
48	0.999958	X1	5	V15_PAC	21.80689	-105.204299	0.999958	1e-5	1.2e-5	1e-5	1e-5
50	0.99996	X1	5	V1_PAC	22.128562	-105.204077	0.99996	1e-5	1e-5	1e-5	1e-5
91	0.99996	X1	5	V2798_PAC	21.21691667	-104.7405556	0.99996	1e-5	1e-5	1e-5	1e-5
89	0.99996	X1	5	V2794_PAC	21.21691667	-104.7405556	0.99996	1e-5	1e-5	1e-5	1e-5
90	0.99996	X1	5	V2797_PAC	NA	NA	0.99996	1e-5	1e-5	1e-5	1e-5
93	0.99996	X1	5	V2800_PAC	21.21691667	-104.7405556	0.99996	1e-5	1e-5	1e-5	1e-5
92	0.99996	X1	5	V2799_PAC	21.21288889	-104.7272222	0.99996	1e-5	1e-5	1e-5	1e-5
16	0.99996	X1	5	T2059_Rfor_PAC	22.55783	-105.7435	0.99996	1e-5	1e-5	1e-5	1e-5
95	0.99996	X1	5	V2832_PAC	20.83644444	-105.1252778	0.99996	1e-5	1e-5	1e-5	1e-5
94	0.94117	X1	5	V2831_PAC	20.8225	-105.0938889	0.94117	1e-5	1e-5	1e-5	0.0588
96	0.99996	X5	5	V2833_PAC	20.01633333	-105.2447222	1e-5	1e-5	1e-5	1e-5	0.99996
97	0.99996	X5	5	V2906_PAC	20.00944444	-105.4508333	1e-5	1e-5	1e-5	1e-5	0.99996
20	0.99996	X5	5	T3437_PAC	19.450387	-103.481305	1e-5	1e-5	1e-5	1e-5	0.99996
78	0.99996	X5	5	V2720_PAC	19.18308333	-103.6269444	1e-5	1e-5	1e-5	1e-5	0.99996
81	0.999954	X5	5	V2723_PAC	19.18308333	-103.6269444	1e-5	1.6e-5	1e-5	1e-5	0.999954
83	0.99996	X5	5	V2725_PAC	19.18308333	-103.6269444	1e-5	1e-5	1e-5	1e-5	0.99996
84	0.99996	X5	5	V2726_PAC	19.18308333	-103.6269444	1e-5	1e-5	1e-5	1e-5	0.99996
85	0.99996	X5	5	V2727_PAC	19.18308333	-103.6269444	1e-5	1e-5	1e-5	1e-5	0.99996
87	0.999959	X5	5	V2729_PAC	19.18308333	-103.6269444	1e-5	1.1e-5	1e-5	1e-5	0.999959
88	0.999954	X5	5	V2730_PAC	19.18308333	-103.6269444	1e-5	1e-5	1.6e-5	1e-5	0.999954
75	0.999957	X5	5	V2717_PAC	19.18305556	-103.6269444	1e-5	1e-5	1.3e-5	1e-5	0.999957
76	0.99995	X5	5	V2718_PAC	19.18305556	-103.6269444	1.2e-5	1.3e-5	1.4e-5	1e-5	0.99995
77	0.99996	X5	5	V2719_PAC	19.18305556	-103.6269444	1e-5	1e-5	1e-5	1e-5	0.99996
79	0.99996	X5	5	V2721_PAC	19.18305556	-103.6269444	1e-5	1e-5	1e-5	1e-5	0.99996
80	0.999954	X5	5	V2722_PAC	19.18305556	-103.6269444	1.6e-5	1e-5	1e-5	1e-5	0.999954
82	0.99996	X5	5	V2724_PAC	19.18305556	-103.6269444	1e-5	1e-5	1e-5	1e-5	0.99996
86	0.99996	X5	5	V2728_PAC	19.18305556	-103.6269444	1e-5	1e-5	1e-5	1e-5	0.99996
44	0.99996	X5	5	V1311_PAC	19.18286111	-103.6241667	1e-5	1e-5	1e-5	1e-5	0.99996
45	0.99996	X5	5	V1312_PAC	19.18286111	-103.6241667	1e-5	1e-5	1e-5	1e-5	0.99996
19	0.999959	X5	5	T3430_PAC	19.173905	-103.829438	1.1e-5	1e-5	1e-5	1e-5	0.999959
31	0.99996	X5	5	T4029_bals_PAC	19.173905	-103.829438	1e-5	1e-5	1e-5	1e-5	0.99996
14	0.99996	X4	5	T1963_arcelia_PAC	18.315918	-100.298865	1e-5	1e-5	1e-5	0.99996	1e-5
15	0.99996	X4	5	T1964_arcelia_PAC	18.315918	-100.298865	1e-5	1e-5	1e-5	0.99996	1e-5
41	0.99996	X3	5	UTA60803_Rfor_PAC	16.7055	-98.77121	1e-5	1e-5	0.99996	1e-5	1e-5
1	0.99996	X3	5	JA24801_PAC	18.01312	-102.08812	1e-5	1e-5	0.99996	1e-5	1e-5
