gbifID	basisOfRecord	occurrenceStatus	decimalLatitude	decimalLongitude
922222172	HUMAN_OBSERVATION	PRESENT	10.732128	-85.354156
911980704	PRESERVED_SPECIMEN	PRESENT	15.88735	-97.0872
911980702	PRESERVED_SPECIMEN	PRESENT	15.88735	-97.0872
911980699	PRESERVED_SPECIMEN	PRESENT	16.559417	-96.02975
911980693	PRESERVED_SPECIMEN	PRESENT	16.559417	-96.02975
895410894	PRESERVED_SPECIMEN	PRESENT		
895410714	PRESERVED_SPECIMEN	PRESENT		
895410372	PRESERVED_SPECIMEN	PRESENT	13.95	-88.16667
786359914	PRESERVED_SPECIMEN	PRESENT	17.2507184	-100.3301243
687004834	PRESERVED_SPECIMEN	PRESENT	13.95	-88.16667
687004350	PRESERVED_SPECIMEN	PRESENT		
686998547	PRESERVED_SPECIMEN	PRESENT	13.95	-88.16667
686910170	PRESERVED_SPECIMEN	PRESENT	25.0803378	-107.7003293
686910169	PRESERVED_SPECIMEN	PRESENT	25.5603149	-108.4603497
686910168	PRESERVED_SPECIMEN	PRESENT	25.0803378	-107.7003293
686903754	PRESERVED_SPECIMEN	PRESENT	18.6339799	-100.9001424
686901827	PRESERVED_SPECIMEN	PRESENT	16.3707789	-94.219978
686901698	PRESERVED_SPECIMEN	PRESENT	16.3707789	-94.219978
686901163	PRESERVED_SPECIMEN	PRESENT	22.5504539	-105.5702672
686901162	PRESERVED_SPECIMEN	PRESENT	22.5504539	-105.5702672
686901161	PRESERVED_SPECIMEN	PRESENT	22.5504539	-105.5702672
686901160	PRESERVED_SPECIMEN	PRESENT	22.5504539	-105.5702672
686901029	PRESERVED_SPECIMEN	PRESENT	18.3206668	-100.2801268
686901028	PRESERVED_SPECIMEN	PRESENT	18.3206668	-100.2801268
686901027	PRESERVED_SPECIMEN	PRESENT	18.3206668	-100.2801268
686901026	PRESERVED_SPECIMEN	PRESENT	18.3206668	-100.2801268
686901025	PRESERVED_SPECIMEN	PRESENT	18.3206668	-100.2801268
686901024	PRESERVED_SPECIMEN	PRESENT	18.3206668	-100.2801268
686901023	PRESERVED_SPECIMEN	PRESENT	18.3206668	-100.2801268
686901022	PRESERVED_SPECIMEN	PRESENT	18.3206668	-100.2801268
686901021	PRESERVED_SPECIMEN	PRESENT	18.3206668	-100.2801268
686901020	PRESERVED_SPECIMEN	PRESENT	18.3206668	-100.2801268
686901006	PRESERVED_SPECIMEN	PRESENT		
686901005	PRESERVED_SPECIMEN	PRESENT		
686901004	PRESERVED_SPECIMEN	PRESENT	19.350607	-103.5702073
686899461	PRESERVED_SPECIMEN	PRESENT		
686899460	PRESERVED_SPECIMEN	PRESENT		
686891563	PRESERVED_SPECIMEN	PRESENT	14.36667	-89.1
686891562	PRESERVED_SPECIMEN	PRESENT	14.36667	-89.1
686891561	PRESERVED_SPECIMEN	PRESENT	14.0904	-89.07446
686891560	PRESERVED_SPECIMEN	PRESENT	14.0904	-89.07446
686891559	PRESERVED_SPECIMEN	PRESENT	14.05	-88.083333
686891558	PRESERVED_SPECIMEN	PRESENT	14.05	-88.083333
686891557	PRESERVED_SPECIMEN	PRESENT	13.66667	-89.1
686891556	PRESERVED_SPECIMEN	PRESENT	13.66667	-89.1
686891555	PRESERVED_SPECIMEN	PRESENT	13.66667	-89.1
686891554	PRESERVED_SPECIMEN	PRESENT	13.66667	-89.1
686891553	PRESERVED_SPECIMEN	PRESENT	14.2791	-89.45
686891552	PRESERVED_SPECIMEN	PRESENT	14.2791	-89.45
686891551	PRESERVED_SPECIMEN	PRESENT	13.66667	-89.1
686891540	PRESERVED_SPECIMEN	PRESENT	13.84418	-88.98333
686880576	PRESERVED_SPECIMEN	PRESENT		
686880575	PRESERVED_SPECIMEN	PRESENT		
686880574	PRESERVED_SPECIMEN	PRESENT		
686880573	PRESERVED_SPECIMEN	PRESENT		
686880572	PRESERVED_SPECIMEN	PRESENT		
686880571	PRESERVED_SPECIMEN	PRESENT		
686880570	PRESERVED_SPECIMEN	PRESENT		
686880569	PRESERVED_SPECIMEN	PRESENT		
686880568	PRESERVED_SPECIMEN	PRESENT		
686880567	PRESERVED_SPECIMEN	PRESENT		
686880566	PRESERVED_SPECIMEN	PRESENT		
686880565	PRESERVED_SPECIMEN	PRESENT		
686880564	PRESERVED_SPECIMEN	PRESENT		
686880563	PRESERVED_SPECIMEN	PRESENT		
686880562	PRESERVED_SPECIMEN	PRESENT		
686880561	PRESERVED_SPECIMEN	PRESENT		
686880560	PRESERVED_SPECIMEN	PRESENT		
686880559	PRESERVED_SPECIMEN	PRESENT		
686880558	PRESERVED_SPECIMEN	PRESENT		
686880553	PRESERVED_SPECIMEN	PRESENT		
686880552	PRESERVED_SPECIMEN	PRESENT		
686880551	PRESERVED_SPECIMEN	PRESENT		
686880550	PRESERVED_SPECIMEN	PRESENT		
686880549	PRESERVED_SPECIMEN	PRESENT		
686880548	PRESERVED_SPECIMEN	PRESENT		
686880547	PRESERVED_SPECIMEN	PRESENT		
686880546	PRESERVED_SPECIMEN	PRESENT		
686880545	PRESERVED_SPECIMEN	PRESENT		
686880544	PRESERVED_SPECIMEN	PRESENT		
686880543	PRESERVED_SPECIMEN	PRESENT		
686880542	PRESERVED_SPECIMEN	PRESENT		
686880541	PRESERVED_SPECIMEN	PRESENT		
686880540	PRESERVED_SPECIMEN	PRESENT		
686846887	PRESERVED_SPECIMEN	PRESENT		
686831786	PRESERVED_SPECIMEN	PRESENT		
686819654	PRESERVED_SPECIMEN	PRESENT		
686819653	PRESERVED_SPECIMEN	PRESENT		
686819652	PRESERVED_SPECIMEN	PRESENT		
686819651	PRESERVED_SPECIMEN	PRESENT		
686819650	PRESERVED_SPECIMEN	PRESENT		
686819649	PRESERVED_SPECIMEN	PRESENT		
686819648	PRESERVED_SPECIMEN	PRESENT		
686819647	PRESERVED_SPECIMEN	PRESENT		
686819646	PRESERVED_SPECIMEN	PRESENT		
686819645	PRESERVED_SPECIMEN	PRESENT		
686819638	PRESERVED_SPECIMEN	PRESENT		
686792657	PRESERVED_SPECIMEN	PRESENT	18.8806438	-99.1201014
686792651	PRESERVED_SPECIMEN	PRESENT	18.8806438	-99.1201014
686790853	PRESERVED_SPECIMEN	PRESENT		
686790852	PRESERVED_SPECIMEN	PRESENT		
686790851	PRESERVED_SPECIMEN	PRESENT		
686790850	PRESERVED_SPECIMEN	PRESENT		
686790849	PRESERVED_SPECIMEN	PRESENT		
686790848	PRESERVED_SPECIMEN	PRESENT		
686790847	PRESERVED_SPECIMEN	PRESENT		
686790846	PRESERVED_SPECIMEN	PRESENT		
686790845	PRESERVED_SPECIMEN	PRESENT		
686790844	PRESERVED_SPECIMEN	PRESENT		
686790843	PRESERVED_SPECIMEN	PRESENT		
686790842	PRESERVED_SPECIMEN	PRESENT		
686790841	PRESERVED_SPECIMEN	PRESENT		
686790840	PRESERVED_SPECIMEN	PRESENT		
686790839	PRESERVED_SPECIMEN	PRESENT		
686790838	PRESERVED_SPECIMEN	PRESENT		
686783801	PRESERVED_SPECIMEN	PRESENT	23.0304321	-105.7902745
686783790	PRESERVED_SPECIMEN	PRESENT	23.1837567	-106.2169522
686783467	PRESERVED_SPECIMEN	PRESENT	25.8103022	-109.0503648
686783466	PRESERVED_SPECIMEN	PRESENT	25.8103022	-109.0503648
686783465	PRESERVED_SPECIMEN	PRESENT	25.9602961	-109.0703661
686783464	PRESERVED_SPECIMEN	PRESENT	25.9602961	-109.0703661
686769009	PRESERVED_SPECIMEN	PRESENT	22.5204556	-105.4602645
686767710	PRESERVED_SPECIMEN	PRESENT	19.120623	-102.0601712
686767310	PRESERVED_SPECIMEN	PRESENT		
686767309	PRESERVED_SPECIMEN	PRESENT		
686767307	PRESERVED_SPECIMEN	PRESENT		
686767306	PRESERVED_SPECIMEN	PRESENT		
686767305	PRESERVED_SPECIMEN	PRESENT		
686767304	PRESERVED_SPECIMEN	PRESENT		
686767303	PRESERVED_SPECIMEN	PRESENT		
686767302	PRESERVED_SPECIMEN	PRESENT		
686767301	PRESERVED_SPECIMEN	PRESENT		
686765932	PRESERVED_SPECIMEN	PRESENT	18.6206555	-99.3201052
686765928	PRESERVED_SPECIMEN	PRESENT	17.2907191	-99.4701043
686765926	PRESERVED_SPECIMEN	PRESENT	17.2807195	-99.4801045
686765925	PRESERVED_SPECIMEN	PRESENT	17.2907191	-99.4701043
686765924	PRESERVED_SPECIMEN	PRESENT	17.2907191	-99.4701043
686765923	PRESERVED_SPECIMEN	PRESENT	17.2507209	-99.5101051
686756191	PRESERVED_SPECIMEN	PRESENT	16.330778	-95.2800029
686756190	PRESERVED_SPECIMEN	PRESENT	16.330778	-95.2800029
686756189	PRESERVED_SPECIMEN	PRESENT	16.330778	-95.2800029
686756188	PRESERVED_SPECIMEN	PRESENT	16.330778	-95.2800029
686756187	PRESERVED_SPECIMEN	PRESENT	16.330778	-95.2800029
686756186	PRESERVED_SPECIMEN	PRESENT	16.330778	-95.2800029
686756185	PRESERVED_SPECIMEN	PRESENT	16.330778	-95.2800029
686756184	PRESERVED_SPECIMEN	PRESENT	16.330778	-95.2800029
686756183	PRESERVED_SPECIMEN	PRESENT	16.330778	-95.2800029
686756182	PRESERVED_SPECIMEN	PRESENT	16.330778	-95.2800029
686756017	PRESERVED_SPECIMEN	PRESENT	16.3407775	-95.3100036
686756016	PRESERVED_SPECIMEN	PRESENT	16.3407775	-95.3100036
686756015	PRESERVED_SPECIMEN	PRESENT	16.3407775	-95.3100036
686756014	PRESERVED_SPECIMEN	PRESENT	16.3407775	-95.3100036
686756013	PRESERVED_SPECIMEN	PRESENT	16.3407775	-95.3100036
686756012	PRESERVED_SPECIMEN	PRESENT	16.3407775	-95.3100036
686756011	PRESERVED_SPECIMEN	PRESENT	16.3407775	-95.3100036
686756010	PRESERVED_SPECIMEN	PRESENT	16.3407775	-95.3100036
686756009	PRESERVED_SPECIMEN	PRESENT	16.3407775	-95.3100036
686756007	PRESERVED_SPECIMEN	PRESENT	16.3407775	-95.3100036
686756006	PRESERVED_SPECIMEN	PRESENT	16.3407775	-95.3100036
686756005	PRESERVED_SPECIMEN	PRESENT	16.3407775	-95.3100036
686756004	PRESERVED_SPECIMEN	PRESENT	16.3407775	-95.3100036
686756003	PRESERVED_SPECIMEN	PRESENT	16.3407775	-95.3100036
686756002	PRESERVED_SPECIMEN	PRESENT	16.3407775	-95.3100036
686756001	PRESERVED_SPECIMEN	PRESENT	16.3407775	-95.3100036
686756000	PRESERVED_SPECIMEN	PRESENT	16.3407775	-95.3100036
686755999	PRESERVED_SPECIMEN	PRESENT	16.3407775	-95.3100036
686755998	PRESERVED_SPECIMEN	PRESENT	16.3407775	-95.3100036
686754485	PRESERVED_SPECIMEN	PRESENT	13.78619	-89.38853
686754477	PRESERVED_SPECIMEN	PRESENT	25.5203169	-108.3803476
686754476	PRESERVED_SPECIMEN	PRESENT	25.5203169	-108.3803476
686750070	PRESERVED_SPECIMEN	PRESENT	25.9502966	-109.0503656
686748766	PRESERVED_SPECIMEN	PRESENT		
686748765	PRESERVED_SPECIMEN	PRESENT		
686748764	PRESERVED_SPECIMEN	PRESENT		
686748763	PRESERVED_SPECIMEN	PRESENT		
686748761	PRESERVED_SPECIMEN	PRESENT		
686748760	PRESERVED_SPECIMEN	PRESENT		
686748759	PRESERVED_SPECIMEN	PRESENT		
686748758	PRESERVED_SPECIMEN	PRESENT		
686748757	PRESERVED_SPECIMEN	PRESENT		
686748756	PRESERVED_SPECIMEN	PRESENT		
686748755	PRESERVED_SPECIMEN	PRESENT		
686748754	PRESERVED_SPECIMEN	PRESENT		
686748753	PRESERVED_SPECIMEN	PRESENT		
686748752	PRESERVED_SPECIMEN	PRESENT		
686748751	PRESERVED_SPECIMEN	PRESENT		
686748750	PRESERVED_SPECIMEN	PRESENT		
686748749	PRESERVED_SPECIMEN	PRESENT		
686748748	PRESERVED_SPECIMEN	PRESENT		
686748747	PRESERVED_SPECIMEN	PRESENT		
686748746	PRESERVED_SPECIMEN	PRESENT		
686748745	PRESERVED_SPECIMEN	PRESENT		
686748744	PRESERVED_SPECIMEN	PRESENT		
686748743	PRESERVED_SPECIMEN	PRESENT		
686748742	PRESERVED_SPECIMEN	PRESENT		
686748741	PRESERVED_SPECIMEN	PRESENT		
686748740	PRESERVED_SPECIMEN	PRESENT		
686748739	PRESERVED_SPECIMEN	PRESENT		
686748738	PRESERVED_SPECIMEN	PRESENT		
686748737	PRESERVED_SPECIMEN	PRESENT		
686748736	PRESERVED_SPECIMEN	PRESENT		
686748735	PRESERVED_SPECIMEN	PRESENT		
686748734	PRESERVED_SPECIMEN	PRESENT		
686748733	PRESERVED_SPECIMEN	PRESENT		
686748732	PRESERVED_SPECIMEN	PRESENT		
686748731	PRESERVED_SPECIMEN	PRESENT		
686748730	PRESERVED_SPECIMEN	PRESENT		
686748729	PRESERVED_SPECIMEN	PRESENT		
686748728	PRESERVED_SPECIMEN	PRESENT		
686748727	PRESERVED_SPECIMEN	PRESENT		
686748726	PRESERVED_SPECIMEN	PRESENT		
686748725	PRESERVED_SPECIMEN	PRESENT		
686748724	PRESERVED_SPECIMEN	PRESENT		
686748723	PRESERVED_SPECIMEN	PRESENT		
686748722	PRESERVED_SPECIMEN	PRESENT		
686748721	PRESERVED_SPECIMEN	PRESENT		
686748720	PRESERVED_SPECIMEN	PRESENT		
686748719	PRESERVED_SPECIMEN	PRESENT		
686748718	PRESERVED_SPECIMEN	PRESENT		
686748717	PRESERVED_SPECIMEN	PRESENT		
686748716	PRESERVED_SPECIMEN	PRESENT		
686748715	PRESERVED_SPECIMEN	PRESENT		
686748714	PRESERVED_SPECIMEN	PRESENT		
686748713	PRESERVED_SPECIMEN	PRESENT		
686748712	PRESERVED_SPECIMEN	PRESENT		
686748711	PRESERVED_SPECIMEN	PRESENT		
686748710	PRESERVED_SPECIMEN	PRESENT		
686748709	PRESERVED_SPECIMEN	PRESENT		
686748708	PRESERVED_SPECIMEN	PRESENT		
686745166	PRESERVED_SPECIMEN	PRESENT	16.3707764	-95.1600002
686745165	PRESERVED_SPECIMEN	PRESENT	16.3707764	-95.1600002
686745164	PRESERVED_SPECIMEN	PRESENT	16.3707764	-95.1600002
686743670	PRESERVED_SPECIMEN	PRESENT	16.330778	-95.2800029
686743647	PRESERVED_SPECIMEN	PRESENT	16.330778	-95.2800029
686743514	PRESERVED_SPECIMEN	PRESENT	27.5702296	-109.9303958
686743513	PRESERVED_SPECIMEN	PRESENT	27.5702296	-109.9303958
686741672	PRESERVED_SPECIMEN	PRESENT	10.5057793	-84.9506032
686741671	PRESERVED_SPECIMEN	PRESENT	10.5057793	-84.9506032
686741664	PRESERVED_SPECIMEN	PRESENT	10.6131252	-85.4948318
686738221	PRESERVED_SPECIMEN	PRESENT	10.6167	-85.0833
686735648	PRESERVED_SPECIMEN	PRESENT	18.9839623	-102.1001717
686735647	PRESERVED_SPECIMEN	PRESENT	18.9839623	-102.1001717
686735644	PRESERVED_SPECIMEN	PRESENT	18.9839623	-102.1001717
686697928	PRESERVED_SPECIMEN	PRESENT	13.95	-88.16667
686695707	PRESERVED_SPECIMEN	PRESENT		
686690262	PRESERVED_SPECIMEN	PRESENT	16.330778	-95.2800029
686682850	PRESERVED_SPECIMEN	PRESENT	13.88333	-88.96667
675715416	PRESERVED_SPECIMEN	PRESENT		
675715408	PRESERVED_SPECIMEN	PRESENT		
675715402	PRESERVED_SPECIMEN	PRESENT		
675715399	PRESERVED_SPECIMEN	PRESENT		
675715396	PRESERVED_SPECIMEN	PRESENT		
675715393	PRESERVED_SPECIMEN	PRESENT		
675715389	PRESERVED_SPECIMEN	PRESENT		
675715003	PRESERVED_SPECIMEN	PRESENT		
675712575	PRESERVED_SPECIMEN	PRESENT		
675712572	PRESERVED_SPECIMEN	PRESENT		
675712569	PRESERVED_SPECIMEN	PRESENT		
675703875	PRESERVED_SPECIMEN	PRESENT		
675703501	PRESERVED_SPECIMEN	PRESENT		
675703498	PRESERVED_SPECIMEN	PRESENT		
675684784	PRESERVED_SPECIMEN	PRESENT		
675630657	PRESERVED_SPECIMEN	PRESENT		
675630655	PRESERVED_SPECIMEN	PRESENT		
675630652	PRESERVED_SPECIMEN	PRESENT		
675630650	PRESERVED_SPECIMEN	PRESENT		
675630648	PRESERVED_SPECIMEN	PRESENT		
675630646	PRESERVED_SPECIMEN	PRESENT		
675630643	PRESERVED_SPECIMEN	PRESENT		
675630641	PRESERVED_SPECIMEN	PRESENT		
675630639	PRESERVED_SPECIMEN	PRESENT		
675630637	PRESERVED_SPECIMEN	PRESENT		
675630635	PRESERVED_SPECIMEN	PRESENT		
675630633	PRESERVED_SPECIMEN	PRESENT		
675630631	PRESERVED_SPECIMEN	PRESENT		
675630628	PRESERVED_SPECIMEN	PRESENT		
675630626	PRESERVED_SPECIMEN	PRESENT		
675630624	PRESERVED_SPECIMEN	PRESENT		
675630621	PRESERVED_SPECIMEN	PRESENT		
675630615	PRESERVED_SPECIMEN	PRESENT		
675630613	PRESERVED_SPECIMEN	PRESENT		
675630611	PRESERVED_SPECIMEN	PRESENT		
675630608	PRESERVED_SPECIMEN	PRESENT		
675630606	PRESERVED_SPECIMEN	PRESENT		
675630604	PRESERVED_SPECIMEN	PRESENT		
675630601	PRESERVED_SPECIMEN	PRESENT		
675630599	PRESERVED_SPECIMEN	PRESENT		
675630596	PRESERVED_SPECIMEN	PRESENT		
675630594	PRESERVED_SPECIMEN	PRESENT		
675627338	PRESERVED_SPECIMEN	PRESENT		
675581542	PRESERVED_SPECIMEN	PRESENT		
675562331	PRESERVED_SPECIMEN	PRESENT		
675556515	PRESERVED_SPECIMEN	PRESENT		
675556513	PRESERVED_SPECIMEN	PRESENT		
675556511	PRESERVED_SPECIMEN	PRESENT		
675556483	PRESERVED_SPECIMEN	PRESENT		
675552213	PRESERVED_SPECIMEN	PRESENT		
675552210	PRESERVED_SPECIMEN	PRESENT		
675552208	PRESERVED_SPECIMEN	PRESENT		
675552206	PRESERVED_SPECIMEN	PRESENT		
675552204	PRESERVED_SPECIMEN	PRESENT		
675552201	PRESERVED_SPECIMEN	PRESENT		
675552196	PRESERVED_SPECIMEN	PRESENT		
675552193	PRESERVED_SPECIMEN	PRESENT		
675551974	PRESERVED_SPECIMEN	PRESENT		
675551199	PRESERVED_SPECIMEN	PRESENT		
675551196	PRESERVED_SPECIMEN	PRESENT		
675551193	PRESERVED_SPECIMEN	PRESENT		
675551191	PRESERVED_SPECIMEN	PRESENT		
675551188	PRESERVED_SPECIMEN	PRESENT		
675551185	PRESERVED_SPECIMEN	PRESENT		
675550689	PRESERVED_SPECIMEN	PRESENT		
