Bioinformatics_ID	original_order	custom_order
V7_PAC	103	1
V8_PAC	104	2
V3_PAC	99	3
V4_PAC	100	4
V5_PAC	101	5
V6_PAC	102	6
V2_PAC	98	7
V12_PAC	43	8
V13_PAC	46	9
V14_PAC	47	10
V16_PAC	49	11
V11_PAC	42	12
V15_PAC	48	13
V1_PAC	50	14
V2798_PAC	91	15
V2794_PAC	89	16
V2797_PAC	90	17
V2800_PAC	93	18
V2799_PAC	92	19
T2059_Rfor_PAC	16	20
V2832_PAC	95	21
V2831_PAC	94	22
V2833_PAC	96	23
V2906_PAC	97	24
T3437_PAC	20	25
V2720_PAC	78	26
V2723_PAC	81	27
V2725_PAC	83	28
V2726_PAC	84	29
V2727_PAC	85	30
V2729_PAC	87	31
V2730_PAC	88	32
V2717_PAC	75	33
V2718_PAC	76	34
V2719_PAC	77	35
V2721_PAC	79	36
V2722_PAC	80	37
V2724_PAC	82	38
V2728_PAC	86	39
V1311_PAC	44	40
V1312_PAC	45	41
T3430_PAC	19	42
T4029_bals_PAC	31	43
T1963_arcelia_PAC	14	44
T1964_arcelia_PAC	15	45
UTA60803_Rfor_PAC	41	46
JA24801_PAC	1	47
V2594_Rfor_PAC	51	48
V2595_Rfor_PAC	52	49
V2598_pap_PAC	53	50
V2599_pap_PAC	54	51
V2600_pap_PAC	55	52
T14192_papa_PAC	12	53
V2602_pap_PAC	56	54
V2688_Rfor_PAC	60	55
V2689_Rfor_PAC	61	56
V2691_Rfor_PAC	62	57
T14199_PAC	13	58
TF8647_Rspe_CMX	34	59
TF8648_Rspe_CMX	35	60
TF8649_Rspe_CMX	36	61
TF8650_Rspe_CMX	37	62
TF8651_Rspe_CMX	38	63
TF8652_Rspe_CMX	39	64
TF8653_Rspe_CMX	40	65
TF8637_Rspe_CMX	32	66
TF8644_Rspe_CMX	33	67
V2685_Rfor_PAC	57	68
V2686_Rfor_PAC	58	69
V2687_Rfor_PAC	59	70
V2692_Rfor_PAC	63	71
V2693_Rfor_PAC	64	72
V2696_Rfor_PAC	66	73
V2695_Rfor_PAC	65	74
V2699_Rfor_PAC	68	75
V2700_Rfor_PAC	69	76
V2697_Rfor_PAC	67	77
V2702_Rfor_PAC	71	78
V2706_Rfor_PAC	72	79
V2707_Rfor_PAC	73	80
V2708_Rfor_PAC	74	81
V2701_Rfor_PAC	70	82
MVZ269989_LCA	8	83
MVZ269990_LCA	9	84
MVZ269991_LCA	10	85
N918_LCA	11	86
KEN590_LCA	2	87
KEN591_LCA	3	88
KEN592_LCA	4	89
T3042_LCA	17	90
MVZ207327_LCA	7	91
T3043_LCA	18	92
MVZ175967_LCA	6	93
MVZ149013_LCA	5	94
T3544_LCA	21	95
T3545_LCA	22	96
T3557_LCA	23	97
T3576_LCA	24	98
T3577_LCA	25	99
T3588_LCA	26	100
T3703_LCA	27	101
T3715_LCA	28	102
T3743_LCA	29	103
T3762_LCA	30	104
