Bioinformatics_ID	pooled_dataset
TF8599_Rber_CMX	max_80p
TF8601_Rber_CMX	max_80p
TF8607_Rber_CMX	max_80p
TF8613_Rber_CMX	max_80p
TF8581_Rber_CMX	max_80p
TF8588_Rber_CMX	max_80p
TF8554_Rber_CMX	max_80p
TF8560_Rber_CMX	max_80p
TF8561_Rber_CMX	max_80p
TF8572_Rber_CMX	max_80p
TF8590_Rber_CMX	max_80p
TF8597_Rber_CMX	max_80p
TF8536_Rber_CMX	max_80p
TF8549_Rber_CMX	max_80p
T105_Rber_CMX	max_80p
Rber_T1113a_JA17105	max_80p
Rber_T1114_JA17105	min_10K
T14179_Rber_CMX	remove
T14193_Rber_CMX	min_1000
T401_Rber_CMX	max_80p
T402_Rber_CMX	max_80p
T403_Rber_CMX	max_80p
T414_RTex_CMX	max_80p
T423_Rber_CMX	max_80p
T424_Rber_CMX	max_80p
T425_Rber_CMX	max_80p
T426_Rber_CMX	max_80p
T483_Rber_CMX	max_80p
Rbla_D2864_JA17105	min_10K
Rbla_D2865_JA17105	min_10K
MVZ143381_LCA	min_10K
MVZ263872_LCA	min_1000
MVZ263873_LCA	max_80p
MVZ264276_LCA	max_80p
MVZ264277_LCA	min_10K
MVZ264278_LCA	min_10K
MVZ265381_LCA	max_80p
MVZ265653_LCA	max_80p
MVZ269988_LCA	max_80p
MVZ3720_LCA	remove
JHT2312_LCA	min_10K
JHT2329_LCA	min_10K
JHT2349_LCA	max_80p
JHT2350_LCA	max_80p
LK2_LCA	min_10K
MG66_LCA	remove
CLP2570_LCA	min_10K
IRL57_LCA	min_1000
JHT2812_LCA	max_80p
JHT2815_LCA	max_80p
JHT2560_LCA	min_10K
JHT2561_LCA	max_80p
JHT2562_LCA	max_80p
JHT2955_LCA	max_80p
JHT2956_LCA	min_10K
JHT2760_LCA	min_10K
JHT2761_LCA	min_1000
JHT3719_LCA	min_1000
JHT3762_LCA	min_10K
JHT3827_LCA	min_1000
JHT3828_LCA	min_10K
JHT3829_LCA	min_10K
JHT3830_LCA	min_10K
T14204_PAC	max_80p
T3663_PAC	max_80p
T3786_PAC	max_80p
T3791_CMX	min_1000
T3800_CMX	max_80p
T3805_CMX	max_80p
T3807_CMX	min_1000
T3809_PAC	min_10K
TF8646_Rspe_CMX	max_80p
TF8647_Rspe_CMX	max_80p
TF8648_Rspe_CMX	max_80p
TF8649_Rspe_CMX	max_80p
TF8650_Rspe_CMX	max_80p
TF8651_Rspe_CMX	max_80p
TF8652_Rspe_CMX	max_80p
TF8653_Rspe_CMX	max_80p
TF8635_Rspe_CMX	max_80p
TF8636_Rspe_CMX	max_80p
TF8637_Rspe_CMX	max_80p
TF8638_Rspe_CMX	max_80p
TF8639_Rspe_CMX	max_80p
TF8640_Rspe_CMX	max_80p
TF8641_Rspe_CMX	max_80p
TF8642_Rspe_CMX	max_80p
TF8643_Rspe_CMX	max_80p
TF8644_Rspe_CMX	max_80p
TF8645_Rspe_CMX	max_80p
T14224_PAC	max_80p
T3683_PAC	max_80p
T3686_PAC	max_80p
T3688_PAC	min_10K
T3689_PAC	max_80p
T3691_PAC	remove
T3693_PAC	max_80p
T3695_PAC	min_1000
T3698_PAC	min_10K
T1995_CMX	max_80p
T1996_CMX	max_80p
T2002_CMX	max_80p
T2103_CMX	min_10K
T472_Rneo_CMX	max_80p
Rneo_T480_JA17105	max_80p
T501_Rneo_CMX	max_80p
T523_Rneo_CMX	max_80p
Rneo_T527_JA17105	max_80p
T534_Rneo_CMX	max_80p
T11_CMX	min_10K
T1127_RTex_CMX	max_80p
T117_CMX	max_80p
T14178_Rber_CMX	max_80p
T14194_CMX	max_80p
T208_CMX	min_10K
T209_CMX	max_80p
T210_Atoy_CMX	min_10K
T281_PiedBl_CMX	max_80p
T294_Rber_CMX	max_80p
T416_RTex_CMX	remove
JA22541_Rspe_CMX	min_10K
TF8500_Rspe_CMX	max_80p
TF8501_Rspe_CMX	max_80p
TF8502_Rspe_CMX	max_80p
TF8503_Rspe_CMX	max_80p
TF8505_Rspe_CMX	max_80p
TF8509_Rspe_CMX	max_80p
TF8519_Rspe_CMX	max_80p
TF8694_Rspe_CMX	max_80p
TF8684_Rspe_CMX	max_80p
TF8685_Rspe_CMX	max_80p
TF8686_Rspe_CMX	max_80p
TF8687_Rspe_CMX	max_80p
TF8688_Rspe_CMX	max_80p
TF8689_Rspe_CMX	max_80p
TF8690_Rspe_CMX	max_80p
TF8691_Rspe_CMX	max_80p
TF8692_Rspe_CMX	max_80p
TF8674_Rspe_CMX	max_80p
TF8675_Rspe_CMX	max_80p
TF8676_Rspe_CMX	max_80p
TF8677_Rspe_CMX	remove
TF8678_Rspe_CMX	max_80p
TF8679_Rspe_CMX	remove
TF8680_Rspe_CMX	max_80p
TF8681_Rspe_CMX	max_80p
TF8682_Rspe_CMX	max_80p
TF8683_Rspe_CMX	max_80p
TF7101_Rspe_CMX	max_80p
TF7102_Rspe_CMX	max_80p
TF7103_Rspe_CMX	max_80p
TF8695_Rspe_CMX	max_80p
TF8696_Rspe_CMX	max_80p
TF8697_Rspe_CMX	max_80p
TF8698_Rspe_CMX	max_80p
TF8699_Rspe_CMX	max_80p
TF7133_Rspe_CMX	max_80p
TF7134_Rspe_CMX	max_80p
TF7135_Rspe_CMX	max_80p
TF7136_Rspe_CMX	max_80p
TF7137_Rspe_CMX	max_80p
TF7138_Rspe_CMX	max_80p
TF7139_Rspe_CMX	max_80p
TF7140_Rspe_CMX	min_10K
TF7141_Rspe_CMX	max_80p
TF7142_Rspe_CMX	max_80p
T130_Rspe_CMX	remove
T131_Rspe_CMX	max_80p
T134_Rspe_CMX	min_10K
T135_Rspe_CMX	max_80p
T136_Rspe_CMX	min_10K
T137_Rspe_CMX	max_80p
T138_Rspe_CMX	max_80p
T139_Rspe_CMX	max_80p
T140_Rspe_CMX	max_80p
T141_Rspe_CMX	min_10K
T14197_Rspe_CMX	min_10K
T1952_Rspe_CMX	max_80p
T1987_Rspe_CMX	max_80p
T1989_Rspe_CMX	max_80p
T1991_Rspe_CMX	max_80p
T1997_Rspe_CMX	max_80p
T211_Rspe_CMX	max_80p
T351_Rspe_CMX	max_80p
T3935_Rspe_CMX	remove
T417_Rspe_CMX	max_80p
T418_Rspe_CMX	max_80p
T419_Rspe_CMX	max_80p
T467_Rspe_CMX	max_80p
T486_Rspe_CMX	max_80p
T528_Rspe_CMX	max_80p
T529_Rspe_CMX	max_80p
T537_Rspe_CMX	max_80p
UTA56347_Rspe_CMX	min_10K
Rsph_T25870_JA17105	min_10K
Rsph_T26064_JA17105	min_10K
MVZ263760_LCA	min_10K
KEN177_LCA	min_10K
N918_LCA	min_10K
N919_LCA	remove
N1020_LCA	remove
N997_LCA	remove
JHT2264_LCA	max_80p
MVZ263761_LCA	max_80p
T2092_xochi_CMX	min_500
T3405_xochi_CMX	max_80p
TF8600_Rber_CMX	max_80p
TF8609_Rber_CMX	max_80p
TF8610_Rber_CMX	max_80p
TF8611_Rber_CMX	max_80p
TF8612_Rber_CMX	max_80p
TF8576_Rber_CMX	max_80p
TF8577_Rber_CMX	max_80p
TF8578_Rber_CMX	max_80p
TF8579_Rber_CMX	max_80p
TF8580_Rber_CMX	max_80p
TF8582_Rber_CMX	max_80p
TF8583_Rber_CMX	max_80p
TF8584_Rber_CMX	max_80p
TF8585_Rber_CMX	max_80p
TF8586_Rber_CMX	max_80p
TF8587_Rber_CMX	max_80p
TF8589_Rber_CMX	max_80p
TF8552_Rber_CMX	max_80p
TF8553_Rber_CMX	max_80p
TF8555_Rber_CMX	max_80p
TF8556_Rber_CMX	max_80p
TF8557_Rber_CMX	max_80p
TF8558_Rber_CMX	max_80p
TF8559_Rber_CMX	max_80p
TF8515_CMX	max_80p
TF8521_CMX	max_80p
TF8530_Rber_CMX	max_80p
TF8531_Rber_CMX	max_80p
TF8522_CMX	max_80p
TF8525_Rber_CMX	max_80p
TF8526_Rber_CMX	max_80p
TF8527_Rber_CMX	max_80p
TF8528_Rber_CMX	max_80p
TF8529_Rber_CMX	max_80p
TF8523_CMX	max_80p
TF8524_CMX	max_80p
TF8563_Rber_CMX	remove
TF8564_Rber_CMX	max_80p
TF8565_Rber_CMX	max_80p
TF8566_Rber_CMX	max_80p
TF8567_Rber_CMX	max_80p
TF8568_Rber_CMX	max_80p
TF8569_Rber_CMX	max_80p
