sample_ID	no_miss_sites	percent_missing	no_sites_present	total_sites	dataset
AH197	346944	99.044	3348	350292	min_1000
AH198	306921	87.619	43371	350292	min_10K
AH199	217643	62.132	132649	350292	min_80p
CLP2570	324294	92.578	25998	350292	min_10K
IRL57	340632	97.242	9660	350292	min_1000
JA22541	289475	82.638	60817	350292	min_10K
JA24801	312556	89.227	37736	350292	min_10K
JHT2138	248508	70.943	101784	350292	min_80p
JHT2139	349675	99.824	617	350292	min_500
JHT2140	200938	57.363	149354	350292	min_80p
JHT2141	283667	80.98	66625	350292	min_10K
JHT2142	252009	71.943	98283	350292	min_80p
JHT2143	216224	61.727	134068	350292	min_80p
JHT2144	276256	78.864	74036	350292	min_80p
JHT2145	196993	56.237	153299	350292	min_80p
JHT2153	193456	55.227	156836	350292	min_80p
JHT2261	276300	78.877	73992	350292	min_80p
JHT2264	279172	79.697	71120	350292	min_80p
JHT2308	295555	84.374	54737	350292	min_10K
JHT2309	327121	93.385	23171	350292	min_10K
JHT2310	253285	72.307	97007	350292	min_80p
JHT2312	320792	91.578	29500	350292	min_10K
JHT2314	299100	85.386	51192	350292	min_10K
JHT2327	309725	88.419	40567	350292	min_10K
JHT2328	295614	84.391	54678	350292	min_10K
JHT2329	293231	83.71	57061	350292	min_10K
JHT2349	243220	69.434	107072	350292	min_80p
JHT2350	258757	73.869	91535	350292	min_80p
JHT2560	295220	84.278	55072	350292	min_10K
JHT2561	267587	76.39	82705	350292	min_80p
JHT2562	283312	80.879	66980	350292	min_80p
JHT2760	317959	90.77	32333	350292	min_10K
JHT2761	347007	99.062	3285	350292	min_1000
JHT2772	279833	79.886	70459	350292	min_80p
JHT2812	275050	78.52	75242	350292	min_80p
JHT2815	246153	70.271	104139	350292	min_80p
JHT2883	245929	70.207	104363	350292	min_80p
JHT2955	223715	63.865	126577	350292	min_80p
JHT2956	304606	86.958	45686	350292	min_10K
JHT3719	346206	98.834	4086	350292	min_1000
JHT3762	291615	83.249	58677	350292	min_10K
JHT3827	347045	99.073	3247	350292	min_1000
JHT3828	300958	85.916	49334	350292	min_10K
JHT3829	286084	81.67	64208	350292	min_10K
JHT3830	287567	82.094	62725	350292	min_10K
JHT4090	204206	58.296	146086	350292	min_80p
JHT4091	313009	89.357	37283	350292	min_10K
JHT4092	261081	74.532	89211	350292	min_80p
JHT4093	193355	55.198	156937	350292	min_80p
JHT4094	266088	75.962	84204	350292	min_80p
JHT4095	336096	95.947	14196	350292	min_10K
JHT4096	334148	95.391	16144	350292	min_10K
JHT4097	221052	63.105	129240	350292	min_80p
JHT4098	222288	63.458	128004	350292	min_80p
JHT4099	202475	57.802	147817	350292	min_80p
JHT4100	304492	86.925	45800	350292	min_10K
JHT4102	208541	59.533	141751	350292	min_80p
JHT4103	339792	97.003	10500	350292	min_10K
JHT4104	347750	99.274	2542	350292	min_1000
JHT4105	343786	98.143	6506	350292	min_1000
JHT4106	339081	96.8	11211	350292	min_10K
JHT4107	292685	83.555	57607	350292	min_10K
JHT4108	349512	99.777	780	350292	min_500
JHT4110	336536	96.073	13756	350292	min_10K
JHT4111	277821	79.311	72471	350292	min_80p
JHT4113	293456	83.775	56836	350292	min_10K
JHT4114	328302	93.722	21990	350292	min_10K
JHT4115	261759	74.726	88533	350292	min_80p
JHT4118	343512	98.064	6780	350292	min_1000
JHT4119	211279	60.315	139013	350292	min_80p
JHT4120	239235	68.296	111057	350292	min_80p
JHT4122	320733	91.562	29559	350292	min_10K
JHT4124	309391	88.324	40901	350292	min_10K
JHT4125	349118	99.665	1174	350292	min_1000
KEN177	324898	92.751	25394	350292	min_10K
KEN589	348792	99.572	1500	350292	min_1000
KEN590	301155	85.973	49137	350292	min_10K
KEN591	298124	85.107	52168	350292	min_10K
KEN592	305582	87.236	44710	350292	min_10K
LK2	312324	89.161	37968	350292	min_10K
MG66	349818	99.865	474	350292	remove
MVZ143381	297012	84.79	53280	350292	min_10K
MVZ145471	300025	85.65	50267	350292	min_10K
MVZ145484	347049	99.074	3243	350292	min_1000
MVZ149013	346339	98.872	3953	350292	min_1000
MVZ150254	295515	84.362	54777	350292	min_10K
MVZ175967	217713	62.152	132579	350292	min_80p
MVZ203928	279598	79.819	70694	350292	min_80p
MVZ207321	350086	99.941	206	350292	remove
MVZ207327	226176	64.568	124116	350292	min_80p
MVZ263760	300188	85.697	50104	350292	min_10K
MVZ263761	245317	70.032	104975	350292	min_80p
MVZ263872	344798	98.432	5494	350292	min_1000
MVZ263873	282280	80.584	68012	350292	min_80p
MVZ264276	281230	80.284	69062	350292	min_80p
MVZ264277	328795	93.863	21497	350292	min_10K
MVZ264278	303434	86.623	46858	350292	min_10K
MVZ265381	238833	68.181	111459	350292	min_80p
MVZ265653	236727	67.58	113565	350292	min_80p
MVZ269988	241455	68.93	108837	350292	min_80p
MVZ269989	305643	87.254	44649	350292	min_10K
MVZ269990	313885	89.607	36407	350292	min_10K
