sample_ID	baseA	baseC	baseG	baseT	no_sites
AH197	0.26902	0.23351	0.24117	0.25631	21018
AH198	0.28084	0.21569	0.22389	0.27958	274739
AH199	0.26516	0.23402	0.24066	0.26017	817021
CLP2570	0.28353	0.21699	0.22165	0.27783	165671
IRL57	0.27828	0.21805	0.22755	0.27612	64614
JA22541	0.28165	0.21525	0.22218	0.28093	390819
JA24801	0.27918	0.21691	0.22816	0.27575	238791
JHT2138	0.26257	0.23595	0.2436	0.25788	625667
JHT2139	0.25802	0.23939	0.25104	0.25155	3864
JHT2140	0.27308	0.22573	0.23182	0.26937	934460
JHT2141	0.26211	0.23522	0.24379	0.25889	410662
JHT2142	0.27396	0.22524	0.23172	0.26908	615848
JHT2143	0.26461	0.23504	0.2408	0.25955	825151
JHT2144	0.27305	0.22434	0.23268	0.26992	464042
JHT2145	0.27349	0.22525	0.23112	0.27014	959460
JHT2153	0.2738	0.22529	0.23064	0.27027	981966
JHT2261	0.27435	0.22536	0.23021	0.27009	465440
JHT2264	0.27333	0.22539	0.23117	0.2701	445824
JHT2308	0.27355	0.22539	0.23158	0.26948	347833
JHT2309	0.27223	0.22473	0.23309	0.26994	147187
JHT2310	0.27196	0.22669	0.23316	0.2682	609843
JHT2312	0.27551	0.22365	0.23052	0.27033	188854
JHT2314	0.27331	0.22535	0.23217	0.26917	323785
JHT2327	0.26295	0.2352	0.24389	0.25796	252845
JHT2328	0.2616	0.23728	0.24314	0.25798	335112
JHT2329	0.27238	0.22478	0.23176	0.27108	361735
JHT2349	0.27201	0.22639	0.23194	0.26966	671339
JHT2350	0.27297	0.22569	0.23125	0.27008	575826
JHT2560	0.27302	0.22685	0.23099	0.26914	345893
JHT2561	0.27208	0.22663	0.23297	0.26832	517999
JHT2562	0.27376	0.22624	0.23056	0.26944	422111
JHT2760	0.26122	0.23804	0.24445	0.2563	200508
JHT2761	0.2688	0.23249	0.24884	0.24987	20551
JHT2772	0.27562	0.22361	0.22962	0.27115	447676
JHT2812	0.27406	0.22402	0.2309	0.27102	475344
JHT2815	0.2733	0.22492	0.23163	0.27014	655187
JHT2883	0.27584	0.22383	0.22942	0.27091	657721
JHT2955	0.27268	0.22601	0.23164	0.26966	791858
JHT2956	0.26346	0.23496	0.24103	0.26054	283674
JHT3719	0.26196	0.24123	0.24229	0.25452	25635
JHT3762	0.26318	0.23412	0.24158	0.26112	363382
JHT3827	0.26421	0.23688	0.24274	0.25617	20182
JHT3828	0.26226	0.23606	0.24334	0.25834	306136
JHT3829	0.26427	0.23433	0.24093	0.26046	396667
JHT3830	0.26279	0.23519	0.24326	0.25876	387271
JHT4090	0.27008	0.2288	0.2349	0.26622	907447
JHT4091	0.26983	0.22909	0.23701	0.26408	234693
JHT4092	0.26941	0.23073	0.23599	0.26388	554556
JHT4093	0.26942	0.2298	0.23558	0.2652	974542
JHT4094	0.26937	0.22997	0.23753	0.26313	522545
JHT4095	0.27206	0.23186	0.23696	0.25912	88431
JHT4096	0.26993	0.23188	0.23584	0.26235	100785
JHT4097	0.2674	0.23146	0.23758	0.26356	800212
JHT4098	0.26873	0.23076	0.23647	0.26403	792407
JHT4099	0.26878	0.23023	0.23666	0.26434	918541
JHT4100	0.26679	0.23222	0.23974	0.26125	285533
JHT4102	0.26953	0.23002	0.23565	0.2648	880604
JHT4103	0.27051	0.22544	0.23427	0.26978	66903
JHT4104	0.27277	0.22658	0.23941	0.26124	15972
JHT4105	0.26518	0.23306	0.24292	0.25884	40125
JHT4106	0.26756	0.23128	0.23925	0.26191	69774
JHT4107	0.26778	0.23225	0.238	0.26197	355881
JHT4108	0.24898	0.22801	0.25366	0.26934	4912
JHT4110	0.26718	0.23303	0.23629	0.26349	84918
JHT4111	0.27029	0.22913	0.23569	0.26488	451821
JHT4113	0.26925	0.23005	0.23779	0.2629	352680
JHT4114	0.26925	0.22984	0.23558	0.26533	137136
JHT4115	0.27085	0.22878	0.23419	0.26617	549683
JHT4118	0.26417	0.2327	0.24416	0.25897	43006
JHT4119	0.26705	0.232	0.23874	0.2622	860095
JHT4120	0.26513	0.23388	0.2402	0.26078	687016
JHT4122	0.26547	0.23467	0.2417	0.25816	183667
JHT4124	0.2649	0.23519	0.24105	0.25885	253075
JHT4125	0.26576	0.23381	0.23524	0.26519	6980
KEN177	0.26186	0.23668	0.24396	0.2575	157027
KEN589	0.26644	0.23395	0.2452	0.25441	9019
KEN590	0.26702	0.23445	0.23835	0.26018	301720
KEN591	0.26521	0.23425	0.24122	0.25932	319757
KEN592	0.26581	0.23418	0.24275	0.25726	273048
LK2	0.26522	0.23308	0.2431	0.2586	236356
MG66	0.27683	0.21721	0.24949	0.25647	2944
MVZ143381	0.26289	0.23548	0.2434	0.25823	327194
MVZ145471	0.26183	0.23704	0.24417	0.25696	307629
MVZ145484	0.26429	0.23371	0.24073	0.26127	20330
MVZ149013	0.26656	0.22219	0.24084	0.27041	24950
MVZ150254	0.26884	0.23012	0.23917	0.26186	343143
MVZ175967	0.27171	0.22718	0.23433	0.26678	828147
MVZ203928	0.27059	0.22701	0.23649	0.26591	444837
MVZ207321	0.25478	0.25717	0.22213	0.26592	1256
MVZ207327	0.2735	0.22607	0.23286	0.26756	776780
MVZ263760	0.26563	0.23389	0.24201	0.25847	310906
MVZ263761	0.2663	0.2319	0.23939	0.26241	647781
MVZ263872	0.266	0.22828	0.23566	0.27006	36159
MVZ263873	0.26863	0.2293	0.23694	0.26513	427898
MVZ264276	0.27114	0.22724	0.23418	0.26745	434829
MVZ264277	0.26278	0.23694	0.24472	0.25556	131745
MVZ264278	0.2695	0.22935	0.23718	0.26398	297687
MVZ265381	0.27113	0.22652	0.23517	0.26718	702346
MVZ265653	0.26491	0.23432	0.24042	0.26035	700756
MVZ269988	0.26574	0.23384	0.24031	0.26012	671078
MVZ269989	0.2672	0.23079	0.2391	0.26291	279781
MVZ269990	0.26928	0.22933	0.23793	0.26346	227378
MVZ269991	0.26649	0.23283	0.23939	0.2613	447343
MVZ3720	0.24781	0.22587	0.25598	0.27034	799
N1020	0.27223	0.21515	0.28156	0.23106	1822
N918	0.27148	0.22651	0.23689	0.26512	121222
N919	0.3211	0.19266	0.13761	0.34862	109
N997	0.27225	0.24084	0.23037	0.25654	573
Rber1113a	0.28139	0.21767	0.21925	0.2817	529187
Rber1114	0.28325	0.21417	0.21894	0.28364	161847
RblaD2864	0.28275	0.21634	0.21648	0.28443	272537
RblaD2865	0.28275	0.2158	0.21882	0.28262	209637
RchiT2034a	0.28501	0.21039	0.22071	0.28388	164209
RneoT480	0.28075	0.21773	0.21937	0.28215	461444
