Year	To_plot	Cumulative_recognized_today
1782	1	1
1802	1	1
1825	2	2
1826	3	2
1852	4	3
1854	5	4
1855	6	5
1856	6	5
1859	7	6
1865	7	6
1875	6	7
1877	7	8
1878	7	8
1883	8	9
1886	7	9
1889	7	9
1893	8	10
1899	9	10
1900	10	11
1906	9	11
1912	10	11
1915	11	12
1917	12	12
1919	10	12
1922	12	12
1927	10	12
1929	11	13
1937	11	13
1940	12	14
1942	11	15
1943	10	15
1947	9	15
1949	8	15
1951	7	15
1957	8	16
1959	9	17
1965	8	17
1973	10	18
1974	12	19
1978	13	19
1979	14	20
1981	16	21
1982	17	21
1984	18	22
1985	22	25
1987	24	25
1993	24	25
1996	25	26
2001	26	26
2003	27	27
2004	27	27
2014	28	28
2018	29	29
2022	31	31
2023	33	33
2024	23	23
