Collection_code	Catalog_number	Field_number	Voucher_number	Bioinformatics_ID	new_species	country	state	Latitude	Longitude	Pooled assembly	Assemblies
N/A	N/A	AH 197	N/A	AH197_LCA	NA	Panamá	Ngäbe-Buglé	8.48553	-81.72849	No	CENTAM
N/A	N/A	AH 198	N/A	AH198_LCA	NA	Panamá	Ngäbe-Buglé	8.48553	-81.72849	Yes	CENTAM
N/A	N/A	AH 199	N/A	AH199_LCA	NA	NA	NA	8.48553	-81.72849	Yes	CENTAM
N/A	N/A	CLP 2570	N/A	CLP2570_LCA	R. macroglossa	Honduras	Cortés	15.209118	-87.506361	Yes	ATL_MXPL, CENTAM
N/A	N/A	IRL 057	N/A	IRL57_LCA	R. macroglossa	Honduras	Cortés	14.87235	-87.90565	No	ATL_MXPL, CENTAM
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:16308	JAC 22541	MZFC16308	JA22541_Rspe_CMX	NA	México	Oaxaca	18.1597	-97.2905	Yes	ATL_MXPL, PACMX
N/A	N/A	JAC 24801	N/A	JA24801_PAC	R. forreri	México	Guerrero	18.01312	-102.08812	Yes	forreri, PACMX
N/A	N/A	JHT 2138	N/A	JHT2138_LCA	R. lenca	Honduras	Francisco Morazán	14.034904	-87.076059	Yes	CENTAM
N/A	N/A	JHT 2139	N/A	JHT2139_LCA	R. lenca	Honduras	Francisco Morazán	14.034904	-87.076059	No	CENTAM
N/A	N/A	JHT 2140	N/A	JHT2140_LCA	R. lenca	Honduras	Francisco Morazán	14.034904	-87.076059	Yes	CENTAM
N/A	N/A	JHT 2141	N/A	JHT2141_LCA	R. lenca	Honduras	Francisco Morazán	14.034904	-87.076059	Yes	CENTAM
N/A	N/A	JHT 2142	N/A	JHT2142_LCA	R. lenca	Honduras	Francisco Morazán	14.034904	-87.076059	Yes	CENTAM
N/A	N/A	JHT 2143	N/A	JHT2143_LCA	R. lenca	Honduras	Francisco Morazán	14.034904	-87.076059	Yes	CENTAM
N/A	N/A	JHT 2144	N/A	JHT2144_LCA	R. lenca	Honduras	Francisco Morazán	14.034904	-87.076059	Yes	CENTAM
N/A	N/A	JHT 2145	N/A	JHT2145_LCA	R. lenca	Honduras	Francisco Morazán	14.034904	-87.076059	Yes	CENTAM
N/A	N/A	JHT 2153	N/A	JHT2153_LCA	R. lenca	Honduras	Francisco Morazán	14.034904	-87.076059	Yes	CENTAM
N/A	N/A	JHT 2261	N/A	JHT2261_LCA	R. lenca	Honduras	Francisco Morazán	14.034904	-87.076059	Yes	CENTAM
N/A	N/A	JHT 2264	N/A	JHT2264_LCA	NA	Nicaragua	Matagalpa	12.998704	-85.91007	Yes	ATL_MXPL, CENTAM
N/A	N/A	JHT 2308	N/A	JHT2308_LCA	R. lenca	Honduras	Intibucá	13.916667	-88.283333	Yes	CENTAM
N/A	N/A	JHT 2309	N/A	JHT2309_LCA	R. lenca	Honduras	Intibucá	13.916667	-88.283333	Yes	CENTAM
N/A	N/A	JHT 2310	N/A	JHT2310_LCA	R. lenca	Honduras	Intibucá	13.916667	-88.283333	Yes	CENTAM
N/A	N/A	JHT 2312	N/A	JHT2312_LCA	R. macroglossa	Honduras	Intibucá	13.916667	-88.283333	Yes	ATL_MXPL, CENTAM
N/A	N/A	JHT 2314	N/A	JHT2314_LCA	R. lenca	Honduras	Intibucá	13.916667	-88.283333	Yes	CENTAM
N/A	N/A	JHT 2327	N/A	JHT2327_LCA	R. lenca	Honduras	Intibucá	13.916667	-88.283333	Yes	CENTAM
N/A	N/A	JHT 2328	N/A	JHT2328_LCA	R. lenca	Honduras	Intibucá	13.916667	-88.283333	Yes	CENTAM
N/A	N/A	JHT 2329	N/A	JHT2329_LCA	R. macroglossa	Honduras	Intibucá	13.916667	-88.283333	Yes	ATL_MXPL, CENTAM
N/A	N/A	JHT 2349	N/A	JHT2349_LCA	R. macroglossa	Honduras	Santa Bárbara	14.947617	-88.046283	Yes	ATL_MXPL, CENTAM
N/A	N/A	JHT 2350	N/A	JHT2350_LCA	R. macroglossa	Honduras	Santa Bárbara	14.947617	-88.046283	Yes	ATL_MXPL, CENTAM
N/A	N/A	JHT 2560	N/A	JHT2560_LCA	R. macroglossa	Honduras	Comayagua	14.54395	-87.55434	Yes	ATL_MXPL, CENTAM
N/A	N/A	JHT 2561	N/A	JHT2561_LCA	R. macroglossa	Honduras	Comayagua	14.54395	-87.55434	Yes	ATL_MXPL, CENTAM
